pcd2,oscty,ced,oslaua,osward,parish,oseast1m,osnrth1m,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,casward,park,oa11,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp,oa21,lsoa21,msoa21
AB10 1,S99999999,S99999999,S12000033,S13002841,S99999999,393625,805999,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C26,S99999999,S00088986,S01006586,S02001249,S34000028,S03000012,S99999999,S99999999,1,2B1,57.144825,-2.106981,S99999999,S99999999,S23000009,4135,S99999999,S99999999,-1,-1,-1
AB10 6,S99999999,S99999999,S12000033,S13002844,S99999999,392785,805070,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C34,S99999999,['S00089203' 'S00089206' 'S00089251' 'S00089260' 'S00089265'],S01006536,S02001248,S34003105,S03000012,S99999999,S99999999,1,2C3,57.136476,-2.120832,S99999999,S99999999,S23000009,6205,S99999999,S99999999,-1,-1,-1
AB10 7,S99999999,S99999999,S12000033,S13002845,S99999999,392107,803813,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C36,S99999999,S00089304,S01006528,S02001239,S34003070,S03000012,S99999999,S99999999,1,8B2,57.125175,-2.132,S99999999,S99999999,S23000009,4081,S99999999,S99999999,-1,-1,-1
AB11 5,S99999999,S99999999,S12000033,S13002842,S99999999,394699,805995,S08000020,S99999999,S92000003,S99999999,0,S14000001,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C28,S99999999,S00090677,S01006587,S02001250,S34003122,S03000012,S99999999,S99999999,1,2B1,57.144814,-2.089225,S99999999,S99999999,S23000009,2464,S99999999,S99999999,-1,-1,-1
AB11 6,S99999999,S99999999,S12000033,S13002846,S99999999,393780,805634,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C27,S99999999,S00090575,S01006582,S02001250,S34002969,S03000012,S99999999,S99999999,1,2B1,57.14156,-2.104416,S99999999,S99999999,S23000009,4150,S99999999,S99999999,-1,-1,-1
AB11 7,S99999999,S99999999,S12000033,S13002846,S99999999,393888,804930,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C38,S99999999,['S00088998' 'S00089001' 'S00089005'],S01006598,S02001252,['S34003021' 'S34003091'],S03000012,S99999999,S99999999,1,5A1,57.135237,-2.102614,S99999999,S99999999,S23000009,6773,S99999999,S99999999,-1,-1,-1
AB11 8,S99999999,S99999999,S12000033,S13002846,S99999999,395130,804745,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C40,S99999999,S00089046,S01006633,S02001257,S34003135,S03000012,S99999999,S99999999,1,7A1,57.133586,-2.082086,S99999999,S99999999,S23000009,1437,S99999999,S99999999,-1,-1,-1
AB11 9,S99999999,S99999999,S12000033,S13002846,S99999999,395096,805125,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C39,S99999999,S00090590,S01006627,S02001257,['S34003074' 'S34003083'],S03000012,S99999999,S99999999,1,2C2,57.136995,-2.082659,S99999999,S99999999,S23000009,1528,S99999999,S99999999,-1,-1,-1
AB12 3,S99999999,S99999999,S12000033,S13002847,S99999999,394702,801679,S08000020,S99999999,S92000003,S99999999,0,S14000002,S15000001,S09000001,S22000047,S03000012,S30000026,99ZZ00,01C43,S99999999,S00090404,S01006608,S02001256,S34003123,S03000012,S99999999,S99999999,1,6A1,57.106045,-2.089099,S99999999,S99999999,S23000009,4918,S99999999,S99999999,-1,-1,-1
AB12 4,S99999999,S99999999,S12000034,S13002864,S99999999,391980,797189,S08000020,S99999999,S92000003,S99999999,0,S14000058,S15000001,S09000001,S22000047,S03000013,S30000027,99ZZ00,02C58,S99999999,S00091311,S01006849,S02001295,S34003170,S03000013,S99999999,S99999999,3,1A1,57.065664,-2.133883,S99999999,S99999999,S23000009,5840,S99999999,S99999999,-1,-1,-1
