URN,Registration status,Date closed
1159395,Active,
1166735,Resigned,01/09/2023
1183136,Resigned,27/10/2023
1183826,Resigned,30/11/2023
1212117,Resigned,28/06/2023
1212708,Resigned,28/06/2023
1223681,Resigned,08/03/2024
1226757,Resigned,09/05/2023
1230725,Resigned,30/06/2023
1231454,Resigned,01/12/2023
1232657,Resigned,28/01/2024
1240572,Resigned,20/03/2024
1240753,Resigned,30/11/2023
1241785,Resigned,21/04/2023
1241840,Resigned,02/06/2023
1244000,Resigned,15/03/2023
1244533,Resigned,16/05/2023
1247244,Resigned,20/12/2022
1251076,Resigned,08/11/2023
1255520,Resigned,25/08/2023
1256064,Closed,29/09/2022
1258434,Resigned,24/01/2024
1258436,Resigned,16/08/2023
1258887,Resigned,30/06/2023
1260700,Cancelled,15/09/2023
1263120,Resigned,26/06/2023
1263201,Resigned,01/06/2023
1265128,Resigned,02/10/2023
1270298,Resigned,02/03/2024
1271375,Resigned,25/03/2024
1271581,Resigned,04/03/2024
1271666,Resigned,01/04/2023
1272657,Resigned,21/08/2023
1275966,Resigned,21/07/2023
1276719,Resigned,27/06/2023
1278421,Resigned,06/09/2023
1280412,Resigned,26/06/2023
2483715,Resigned,19/05/2023
2484180,Resigned,19/05/2023
2484586,Resigned,11/12/2023
2495504,Resigned,08/11/2023
2508513,Resigned,31/03/2023
2510199,Resigned,15/02/2024
2511429,Resigned,11/09/2023
2511662,Resigned,01/08/2023
2517429,Resigned,29/06/2023
2519260,Resigned,12/02/2024
2519269,Resigned,11/12/2023
2523028,Resigned,21/03/2024
2526987,Resigned,14/09/2023
2529355,Resigned,01/03/2024
2537782,Resigned,29/03/2024
2541449,Resigned,31/07/2023
2547305,Resigned,29/11/2023
2548260,Resigned,02/06/2023
2551006,Resigned,30/04/2023
2552727,Resigned,19/10/2023
2553536,Resigned,26/06/2023
2559023,Resigned,08/03/2024
2563544,Cancelled,22/02/2023
2564415,Resigned,26/05/2023
2569994,Resigned,04/05/2023
2571256,Resigned,31/10/2023
2574119,Resigned,31/03/2023
2579887,Resigned,04/08/2023
2582247,Resigned,19/04/2023
2583518,Resigned,05/07/2023
2589392,Resigned,10/07/2023
2590732,Resigned,25/03/2024
2592035,Resigned,26/06/2023
2593915,Resigned,09/01/2024
2597722,Resigned,09/01/2024
2599773,Resigned,05/11/2023
2604877,Resigned,25/03/2024
2609490,Resigned,20/04/2023
2611991,Resigned,03/11/2023
2613341,Resigned,13/11/2023
2613806,Resigned,29/12/2023
2614508,Resigned,07/03/2024
2616606,Resigned,18/03/2024
2617662,Resigned,31/03/2023
2623130,Resigned,30/09/2023
2623841,Resigned,10/01/2024
