pupilonrolltableid,NativeId,fsmperiodsonrolltableid,fsmperiodsonrollorderseqcolumn,sourceid,fsmstartdate,fsmenddate,ukcountry
001cd0b1-3d1,SCH5,345435bf,1,9d229066,2024-Oct-16 00:00:00,,ENG
006a8cdc-33d,SCH5,ba0548e7,2,989bd84b,2024-Dec-14 00:00:00,,ENG
00737891-2c8,SCH3,8ef5471c,3,490d57e8,2024-Oct-14 00:00:00,,ENG
00737891-2c8,SCH3,47089b71,4,490d57e8,2024-Sep-13 00:00:00,2024-Nov-13 00:00:00,
00737891-2c8,SCH3,a37353d0,5,490d57e8,2024-Dec-13 00:00:00,,ENG
00737891-2c8,SCH3,ca24e0bc,6,490d57e8,2024-Dec-03 00:00:00,2024-Nov-09 00:00:00,ENG
00737891-2c8,SCH3,9fc95687,7,490d57e8,2024-Nov-30 00:00:00,2024-Nov-08 00:00:00,ENG
00737891-2c8,SCH3,9abe63ab,8,490d57e8,2024-Oct-17 00:00:00,2024-Oct-25 00:00:00,
00737891-2c8,SCH3,d3144656,9,490d57e8,2024-Sep-21 00:00:00,,SCT
007a60d5-079,SCH1,d5bfb1e1,10,62d16288,2024-Nov-16 00:00:00,2024-Sep-17 00:00:00,ENG
007a60d5-079,SCH1,3aa134ec,11,62d16288,2024-Nov-23 00:00:00,,ENG
007a7429-53f,SCH1,3a7bc463,12,ace997fa,2024-Oct-20 00:00:00,2024-Sep-09 00:00:00,
007a7429-53f,SCH1,a3083416,13,ace997fa,2024-Nov-19 00:00:00,2024-Nov-25 00:00:00,ENG
007a7429-53f,SCH1,a0d7940b,14,ace997fa,2024-Sep-13 00:00:00,,SCT
007a7429-53f,SCH1,eca20b8f,15,ace997fa,2024-Dec-07 00:00:00,2024-Sep-20 00:00:00,WLS
007a7429-53f,SCH1,73fc490c,16,ace997fa,2024-Oct-08 00:00:00,,SCT
007a7429-53f,SCH1,48ff2d5b,17,ace997fa,2024-Oct-19 00:00:00,2024-Nov-25 00:00:00,
007a7429-53f,SCH1,8b13f17e,18,ace997fa,2024-Oct-31 00:00:00,,ENG
007a7429-53f,SCH1,2780d60c,19,ace997fa,2024-Sep-29 00:00:00,2024-Nov-04 00:00:00,SCT
007a7429-53f,SCH1,9e7d36b6,20,ace997fa,2024-Oct-10 00:00:00,2024-Dec-08 00:00:00,ENG
007a7429-53f,SCH1,063b22a4,21,ace997fa,2024-Oct-04 00:00:00,,
0096e98c-b69,SCH5,716e7900,22,a28a4cea,2024-Sep-18 00:00:00,,ENG
0096e98c-b69,SCH5,1c0a4eda,23,a28a4cea,2024-Sep-21 00:00:00,,ENG
0096e98c-b69,SCH5,e8075953,24,a28a4cea,2024-Dec-07 00:00:00,,ENG
0096e98c-b69,SCH5,789d9cf5,25,a28a4cea,2024-Oct-26 00:00:00,2024-Dec-13 00:00:00,ENG
0096e98c-b69,SCH5,2ab50f69,26,a28a4cea,2024-Oct-23 00:00:00,2024-Nov-29 00:00:00,
0096e98c-b69,SCH5,3a07999b,27,a28a4cea,2024-Dec-13 00:00:00,,ENG
0096e98c-b69,SCH5,ce5d817b,28,a28a4cea,2024-Sep-19 00:00:00,,ENG
0096e98c-b69,SCH5,0c473ca5,29,a28a4cea,2024-Sep-21 00:00:00,,ENG
0096e98c-b69,SCH5,3edb3f3d,30,a28a4cea,2024-Oct-29 00:00:00,,SCT
00c57c03-6d2,SCH3,764c4173,31,d314677d,2024-Oct-28 00:00:00,2024-Nov-13 00:00:00,ENG
00c57c03-6d2,SCH3,4416fec5,32,d314677d,2024-Dec-16 00:00:00,,
00c57c03-6d2,SCH3,a85db0ce,33,d314677d,2024-Sep-24 00:00:00,,SCT
00d48d88-6ca,SCH3,3a0c8b90,34,05459979,2024-Oct-21 00:00:00,2024-Oct-06 00:00:00,WLS
00d48d88-6ca,SCH3,77c862d6,35,05459979,2024-Sep-06 00:00:00,,ENG
00e2f966-e88,SCH7,defe1e8d,36,d0b78ac7,2024-Sep-10 00:00:00,2024-Sep-12 00:00:00,ENG
00e2f966-e88,SCH7,4bb223de,37,d0b78ac7,2024-Oct-03 00:00:00,2024-Dec-14 00:00:00,ENG
00ecef55-ae2,SCH1,34358cd0,38,ce202db3,2024-Sep-06 00:00:00,2024-Oct-23 00:00:00,ENG
00ecef55-ae2,SCH1,499ac7c8,39,ce202db3,2024-Oct-30 00:00:00,,ENG
00ecef55-ae2,SCH1,5e9c39b2,40,ce202db3,2024-Sep-18 00:00:00,,ENG
00ecef55-ae2,SCH1,cbf9ab54,41,ce202db3,2024-Oct-07 00:00:00,2024-Nov-29 00:00:00,ENG
