pupilonrolltableid,NativeId,summerhalfterm2sessiondetailsonrolltableid,summerhalfterm2sessiondetailsonrollorderseqcolumn,sourceid,sessions,attendancereason
0002e817-8ca,SCH7,de7046f1,1,e2063384,136.0,G
001cd0b1-3d1,SCH5,133175a8,2,9d229066,127.0,C
001cd0b1-3d1,SCH5,29ef87e1,3,9d229066,133.0,H
001cd0b1-3d1,SCH5,d529d64c,7,9d229066,132.0,I
001cd0b1-3d1,SCH5,8952ba17,8,9d229066,135.0,M
001cd0b1-3d1,SCH5,a146e9ab,4,9d229066,125.0,N
001cd0b1-3d1,SCH5,ba6ef092,9,9d229066,128.0,O
001e7b6b-4f5,SCH4,a38a0998,11,d701bde2,134.0,E
001e7b6b-4f5,SCH4,65eee77e,12,d701bde2,129.0,G
001e7b6b-4f5,SCH4,2f13509c,14,d701bde2,128.0,I
001e7b6b-4f5,SCH4,bafa97dd,13,d701bde2,127.0,M
001e7b6b-4f5,SCH4,2ab683ca,16,d701bde2,138.0,R
001e7b6b-4f5,SCH4,e6ca6946,15,d701bde2,126.0,S
002c252a-dd6,SCH8,44d1cef9,17,56cf728e,130.0,E
002c252a-dd6,SCH8,3b15d5f7,18,56cf728e,115.0,H
002c252a-dd6,SCH8,88ce5e7c,19,56cf728e,129.0,M
002c252a-dd6,SCH8,39fc2f80,22,56cf728e,141.0,N
002c252a-dd6,SCH8,c7a0ee54,21,56cf728e,132.0,X
00389221-b4e,SCH6,2b0aa7a7,26,b1841a22,130.0,E
00389221-b4e,SCH6,00e72fe5,23,b1841a22,125.0,G
00389221-b4e,SCH6,f684fb67,27,b1841a22,135.0,I
00389221-b4e,SCH6,8cb4e3f4,25,b1841a22,129.0,M
00389221-b4e,SCH6,6f7a190a,24,b1841a22,121.0,S
003aa1bb-f6b,SCH2,f6c77a8d,28,8adf6275,131.0,E
003aa1bb-f6b,SCH2,5ad42934,31,8adf6275,127.0,O
003aa1bb-f6b,SCH2,69f45876,30,8adf6275,127.0,T
003aa1bb-f6b,SCH2,028f372f,33,8adf6275,129.0,Z
004fcd28-df6,SCH1,0ca71c69,37,01e48b77,128.0,C
004fcd28-df6,SCH1,f539d609,35,01e48b77,126.0,E
004fcd28-df6,SCH1,ee9ad176,34,01e48b77,124.0,I
004fcd28-df6,SCH1,bd9198de,36,01e48b77,137.0,M
0058974f-905,SCH4,86972244,38,9c7937ab,129.0,#
0058974f-905,SCH4,e776690c,39,9c7937ab,139.0,G
0058974f-905,SCH4,51c15203,41,9c7937ab,131.0,H
0058974f-905,SCH4,82e2159a,42,9c7937ab,134.0,M
0058974f-905,SCH4,6ebdccda,45,9c7937ab,125.0,O
0058974f-905,SCH4,231d8001,44,9c7937ab,137.0,S
0058974f-905,SCH4,a4b0b7fe,40,9c7937ab,131.0,T
0068613a-fcf,SCH7,cc88e93d,47,aad18ec8,130.0,M
0068613a-fcf,SCH7,6c535dc3,50,aad18ec8,133.0,N
0068613a-fcf,SCH7,1191c1c8,48,aad18ec8,,O
006a8cdc-33d,SCH5,dc716a06,54,989bd84b,122.0,G
006a8cdc-33d,SCH5,e97674d8,52,989bd84b,129.0,M
006a8cdc-33d,SCH5,0943a783,51,989bd84b,133.0,X
006db8dd-913,SCH5,ce4cb8da,57,226513ea,137.0,S
00737891-2c8,SCH3,8a6e33f1,58,490d57e8,130.0,C
00737891-2c8,SCH3,e72d943c,60,490d57e8,132.0,G
00737891-2c8,SCH3,aca46399,59,490d57e8,136.0,H
00737891-2c8,SCH3,90837212,61,490d57e8,133.0,I
00737891-2c8,SCH3,3b27670d,62,490d57e8,137.0,N
00737891-2c8,SCH3,86b3bb15,63,490d57e8,133.0,S
00737891-2c8,SCH3,75e4d03f,64,490d57e8,129.0,Y
007a60d5-079,SCH1,5fe05953,69,62d16288,137.0,G
007a60d5-079,SCH1,2b2b0103,67,62d16288,131.0,H
007a60d5-079,SCH1,29ee78e3,66,62d16288,140.0,M
007a60d5-079,SCH1,097b1728,65,62d16288,140.0,N
007a7429-53f,SCH1,5b8e73c1,70,ace997fa,,C
007a7429-53f,SCH1,f7d1722e,71,ace997fa,130.0,H
007a7429-53f,SCH1,478b834f,72,ace997fa,127.0,I
007a7429-53f,SCH1,435a24e2,73,ace997fa,134.0,N
007a7429-53f,SCH1,49508b2e,74,ace997fa,130.0,R
007ce401-b14,SCH1,9bb83741,76,1b6182b3,128.0,G
007ce401-b14,SCH1,47a717bd,75,1b6182b3,,Y
0080a909-ddc,SCH2,5f6629f8,77,467c8e5f,128.0,E
0080a909-ddc,SCH2,4c82f8ab,78,467c8e5f,122.0,Z
00861282-259,SCH6,1a79fb1d,80,f718682c,132.0,E
00861282-259,SCH6,89ed77d8,81,f718682c,131.0,G
00861282-259,SCH6,654034ff,84,f718682c,126.0,M
00861282-259,SCH6,8dae38d5,79,f718682c,122.0,Z
008e6441-aa0,SCH8,669904e7,85,34fb7b99,134.0,N
0096e98c-b69,SCH5,fec7198d,86,a28a4cea,128.0,E
0096e98c-b69,SCH5,70d5a576,87,a28a4cea,134.0,G
0096e98c-b69,SCH5,8d34c21c,88,a28a4cea,125.0,O
00a2895e-7c0,SCH5,f3f6a90a,97,3fb83658,128.0,C
00a2895e-7c0,SCH5,e7af4c2b,92,3fb83658,129.0,E
00a2895e-7c0,SCH5,c30cdac3,89,3fb83658,127.0,G
00a2895e-7c0,SCH5,37392386,93,3fb83658,122.0,I
00a2895e-7c0,SCH5,9c103a22,90,3fb83658,134.0,N
00a2895e-7c0,SCH5,311e0aff,96,3fb83658,134.0,O
00a2895e-7c0,SCH5,5ae3da0c,95,3fb83658,128.0,U
00b47c69-f0d,SCH1,639e62ff,99,62e39482,129.0,E
00b47c69-f0d,SCH1,0ecb7abf,98,62e39482,131.0,G
00b47c69-f0d,SCH1,69469b28,101,62e39482,124.0,H
00b47c69-f0d,SCH1,347972cd,100,62e39482,125.0,M
00c46b1f-986,SCH7,4c030dff,102,a1b89a0e,121.0,Y
