pupilnolongeronrolltableid,NativeId,termlyexclusionsoffrolltableid,termlyexclusionsoffrollorderseqcolumn,sourceid,startdate,sessions,reason1,reason2,reason3,category,senprovision
0328b124-b96,SCH8,f69c73ec,1,37cce5c6,2024-Sep-09 00:00:00,10.0,PP,,,PERM,N
0328b124-b96,SCH8,2ea7bb2c,2,37cce5c6,2024-Dec-07 00:00:00,10.0,MT,,,PERM,N
0328b124-b96,SCH8,dab76b63,3,37cce5c6,2024-Oct-08 00:00:00,10.0,PP,,,PERM,
0328b124-b96,SCH8,ac3fc3ba,4,37cce5c6,2024-Dec-09 00:00:00,10.0,SM,,,PERM,
0328b124-b96,SCH8,07994df2,5,37cce5c6,2024-Sep-14 00:00:00,10.0,DM,DB,,LNCH,S
0328b124-b96,SCH8,4fb43337,6,37cce5c6,2024-Oct-10 00:00:00,10.0,VA,,,PERM,
0328b124-b96,SCH8,ee24f770,7,37cce5c6,2024-Nov-20 00:00:00,10.0,BU,,VA,PERM,S
0328b124-b96,SCH8,baffdf3f,8,37cce5c6,2024-Nov-14 00:00:00,10.0,VP,,,FIXD,
0328b124-b96,SCH8,ca692f25,9,37cce5c6,2024-Nov-24 00:00:00,10.0,DB,PP,,PERM,N
0328b124-b96,SCH8,2b71913c,10,37cce5c6,2024-Dec-03 00:00:00,10.0,BU,PA,,PERM,
0692560f-4c8,SCH6,a175a08f,11,29d9d02b,2024-Sep-18 00:00:00,10.0,RA,BU,,PERM,
0692560f-4c8,SCH6,288201f0,12,29d9d02b,2024-Oct-13 00:00:00,10.0,VA,PP,,PERM,
0692560f-4c8,SCH6,c9033863,13,29d9d02b,2024-Oct-12 00:00:00,10.0,VP,,,LNCH,K
0692560f-4c8,SCH6,a4e6a908,14,29d9d02b,2024-Oct-15 00:00:00,10.0,PP,DA,,PERM,K
0692560f-4c8,SCH6,2b19212f,15,29d9d02b,2024-Nov-07 00:00:00,10.0,BU,PA,,PERM,
0692560f-4c8,SCH6,f54d661c,16,29d9d02b,2024-Dec-06 00:00:00,10.0,RA,,,PERM,S
0692560f-4c8,SCH6,e234b998,17,29d9d02b,2024-Nov-30 00:00:00,10.0,BU,PP,,LNCH,
0692560f-4c8,SCH6,986c9a15,18,29d9d02b,2024-Oct-03 00:00:00,10.0,DA,,,PERM,
0692560f-4c8,SCH6,66e9b536,19,29d9d02b,2024-Nov-04 00:00:00,10.0,PA,PA,,PERM,N
0692560f-4c8,SCH6,592cd68a,20,29d9d02b,2024-Oct-11 00:00:00,10.0,BU,,,FIXD,S
0903e6de-706,SCH5,75883bb4,21,f53547ae,2024-Oct-27 00:00:00,10.0,PP,,,FIXD,
0903e6de-706,SCH5,f1dca120,22,f53547ae,2024-Sep-09 00:00:00,10.0,VA,MT,,LNCH,P
0903e6de-706,SCH5,aff4145b,23,f53547ae,2024-Oct-14 00:00:00,10.0,VP,BU,,LNCH,
0903e6de-706,SCH5,ece02245,24,f53547ae,2024-Sep-20 00:00:00,10.0,SM,,,FIXD,E
0903e6de-706,SCH5,0958905c,25,f53547ae,2024-Nov-15 00:00:00,10.0,BU,PA,,PERM,
0903e6de-706,SCH5,14af121f,26,f53547ae,2024-Oct-08 00:00:00,10.0,TH,,,FIXD,N
0903e6de-706,SCH5,b63ab9fe,27,f53547ae,2024-Oct-01 00:00:00,10.0,VA,,,FIXD,S
0be50e5b-a48,SCH8,8b250856,28,71a4a4dd,2024-Sep-09 00:00:00,10.0,VA,PP,BU,FIXD,
0be50e5b-a48,SCH8,7d9f59e2,29,71a4a4dd,2024-Sep-15 00:00:00,10.0,BU,,,FIXD,
0be50e5b-a48,SCH8,05c8f096,30,71a4a4dd,2024-Sep-28 00:00:00,10.0,MT,BU,MT,LNCH,
0be50e5b-a48,SCH8,a52bddff,31,71a4a4dd,2024-Dec-04 00:00:00,10.0,DB,,,FIXD,
0be50e5b-a48,SCH8,ab34a298,32,71a4a4dd,2024-Oct-18 00:00:00,10.0,RA,PP,,PERM,
0be50e5b-a48,SCH8,2791e204,33,71a4a4dd,2024-Nov-21 00:00:00,10.0,TH,VP,,PERM,A
0e6c3ea7-acc,SCH7,8320c761,34,56ff8eea,2024-Sep-26 00:00:00,10.0,DA,,,FIXD,
0e6c3ea7-acc,SCH7,4857549d,35,56ff8eea,2024-Nov-09 00:00:00,10.0,MT,,,LNCH,
0e6c3ea7-acc,SCH7,bc06ca8c,36,56ff8eea,2024-Oct-08 00:00:00,10.0,RA,,,PERM,E
0e6c3ea7-acc,SCH7,c997eead,37,56ff8eea,2024-Sep-03 00:00:00,10.0,MT,PP,,FIXD,
12006ab5-3c9,SCH4,3783c267,38,4987af6d,2024-Sep-03 00:00:00,10.0,PP,,,FIXD,
12006ab5-3c9,SCH4,3504418c,39,4987af6d,2024-Dec-10 00:00:00,10.0,BU,VP,,PERM,N
12006ab5-3c9,SCH4,5561ec85,40,4987af6d,2024-Dec-17 00:00:00,10.0,VP,VA,,FIXD,N
12006ab5-3c9,SCH4,f1bb1a06,41,4987af6d,2024-Oct-09 00:00:00,10.0,SM,,,FIXD,
12006ab5-3c9,SCH4,00894556,42,4987af6d,2024-Oct-17 00:00:00,10.0,RA,,,FIXD,A
12006ab5-3c9,SCH4,c978b117,43,4987af6d,2024-Oct-25 00:00:00,10.0,RA,,,PERM,K
12006ab5-3c9,SCH4,bb997f4e,44,4987af6d,2024-Sep-02 00:00:00,10.0,RA,,,PERM,
12006ab5-3c9,SCH4,ce360867,45,4987af6d,2024-Oct-23 00:00:00,10.0,VA,,,LNCH,
12006ab5-3c9,SCH4,b4a73a20,46,4987af6d,2024-Sep-16 00:00:00,10.0,BU,,,PERM,
12006ab5-3c9,SCH4,ea8c0b07,47,4987af6d,2024-Nov-18 00:00:00,10.0,PA,,,LNCH,
1654402c-bea,SCH8,a17a3668,48,830e1666,2024-Oct-05 00:00:00,10.0,TH,,,FIXD,
1654402c-bea,SCH8,d2402963,49,830e1666,2024-Oct-04 00:00:00,10.0,BU,,,FIXD,E
1654402c-bea,SCH8,8e7d866b,50,830e1666,2024-Dec-05 00:00:00,10.0,VA,,,FIXD,
1654402c-bea,SCH8,cf360936,51,830e1666,2024-Nov-08 00:00:00,10.0,VA,DB,,LNCH,N
1654402c-bea,SCH8,5119570d,52,830e1666,2024-Nov-01 00:00:00,10.0,PP,,,PERM,S
20d86a54-a15,SCH8,dce16e10,53,dce0fe00,2024-Nov-02 00:00:00,10.0,VP,,,FIXD,E
20d86a54-a15,SCH8,ef4cda72,54,dce0fe00,2024-Nov-07 00:00:00,10.0,VP,,,LNCH,
20d86a54-a15,SCH8,89cfb40b,55,dce0fe00,2024-Sep-13 00:00:00,10.0,VA,,,PERM,
20d86a54-a15,SCH8,d6df563e,56,dce0fe00,2024-Oct-17 00:00:00,10.0,SM,,,LNCH,
20d86a54-a15,SCH8,8c2a4838,57,dce0fe00,2024-Sep-17 00:00:00,10.0,VP,DA,,PERM,
20d86a54-a15,SCH8,64cc6652,58,dce0fe00,2024-Dec-16 00:00:00,10.0,TH,BU,,PERM,E
20d86a54-a15,SCH8,7a69e054,59,dce0fe00,2024-Dec-17 00:00:00,10.0,RA,,,LNCH,
20d86a54-a15,SCH8,2a601362,60,dce0fe00,2024-Nov-01 00:00:00,10.0,DA,,,FIXD,N
26c5dfea-fc4,SCH7,2db91045,61,2a2dffd8,2024-Dec-03 00:00:00,10.0,PP,,,PERM,N
26c5dfea-fc4,SCH7,ab2d6b1f,62,2a2dffd8,2024-Oct-06 00:00:00,10.0,DM,,,FIXD,A
26c5dfea-fc4,SCH7,e75c8e7b,63,2a2dffd8,2024-Nov-17 00:00:00,10.0,MT,PP,,PERM,
26c5dfea-fc4,SCH7,be20865c,64,2a2dffd8,2024-Nov-07 00:00:00,10.0,MT,TH,TH,LNCH,
28bd0049-3b0,SCH6,b197080d,65,1318c755,2024-Oct-15 00:00:00,10.0,VP,,,FIXD,
28bd0049-3b0,SCH6,73d0994a,66,1318c755,2024-Nov-16 00:00:00,10.0,PA,,,FIXD,
28bd0049-3b0,SCH6,8cefa874,67,1318c755,2024-Oct-15 00:00:00,10.0,PP,,,FIXD,N
2b7b8941-9c4,SCH7,ba2ff212,68,60e5c24e,2024-Sep-17 00:00:00,10.0,PP,,,FIXD,N
2b7b8941-9c4,SCH7,53b11de5,69,60e5c24e,2024-Oct-30 00:00:00,10.0,BU,,,FIXD,N
2b7b8941-9c4,SCH7,2062e5b7,70,60e5c24e,2024-Nov-09 00:00:00,10.0,RA,,,PERM,K
2b7b8941-9c4,SCH7,5c85dda2,71,60e5c24e,2024-Dec-15 00:00:00,10.0,VA,,,PERM,
2b7b8941-9c4,SCH7,eabe7013,72,60e5c24e,2024-Sep-27 00:00:00,10.0,RA,,,LNCH,P
2b7b8941-9c4,SCH7,c068e566,73,60e5c24e,2024-Nov-16 00:00:00,10.0,SM,PP,,PERM,
2b7b8941-9c4,SCH7,b60dbe43,74,60e5c24e,2024-Oct-08 00:00:00,10.0,MT,DM,,PERM,N
2b7b8941-9c4,SCH7,5801c44c,75,60e5c24e,2024-Nov-05 00:00:00,10.0,DA,,,FIXD,N
3a4c7f7c-658,SCH2,b1b2089e,76,b385e86c,2024-Oct-18 00:00:00,10.0,VA,,,PERM,N
3a4c7f7c-658,SCH2,2fd607b9,77,b385e86c,2024-Oct-26 00:00:00,10.0,PP,,,FIXD,N
3a4c7f7c-658,SCH2,5516b181,78,b385e86c,2024-Dec-12 00:00:00,10.0,BU,,,PERM,P
4b8d6c3e-e4e,SCH5,b52fb39a,79,ae25c980,2024-Nov-06 00:00:00,10.0,VA,,,PERM,E
4b8d6c3e-e4e,SCH5,cb17f1c6,80,ae25c980,2024-Dec-14 00:00:00,10.0,VP,,,FIXD,K
4b8d6c3e-e4e,SCH5,0240fa8f,81,ae25c980,2024-Sep-03 00:00:00,10.0,DM,DM,,PERM,K
4b8d6c3e-e4e,SCH5,27f610e2,82,ae25c980,2024-Sep-30 00:00:00,10.0,MT,,,LNCH,A
4b8d6c3e-e4e,SCH5,aca6bed3,83,ae25c980,2024-Sep-17 00:00:00,10.0,PA,DM,,FIXD,
4d275902-63d,SCH4,3510d93a,84,c26c7502,2024-Nov-23 00:00:00,10.0,VA,,,PERM,S
4d275902-63d,SCH4,f2df5aba,85,c26c7502,2024-Sep-10 00:00:00,10.0,PP,DB,,FIXD,
4d275902-63d,SCH4,8190d9a8,86,c26c7502,2024-Sep-23 00:00:00,10.0,VP,,,FIXD,
4d275902-63d,SCH4,6fb82340,87,c26c7502,2024-Sep-22 00:00:00,10.0,DM,TH,,LNCH,K
4d275902-63d,SCH4,79e3b489,88,c26c7502,2024-Sep-07 00:00:00,10.0,SM,PA,,FIXD,
4d275902-63d,SCH4,b66349b0,89,c26c7502,2024-Sep-14 00:00:00,10.0,VP,PP,,LNCH,
4d275902-63d,SCH4,6f3160dc,90,c26c7502,2024-Sep-06 00:00:00,10.0,VP,PP,,PERM,
4d275902-63d,SCH4,801ae0d1,91,c26c7502,2024-Sep-23 00:00:00,10.0,VP,,,PERM,S
4d275902-63d,SCH4,7e53c922,92,c26c7502,2024-Nov-09 00:00:00,10.0,VP,PP,,LNCH,
5216b3df-9b9,SCH2,d4eb5a74,93,31a6d22b,2024-Oct-11 00:00:00,10.0,PP,,,LNCH,E
5216b3df-9b9,SCH2,ca3a62a3,94,31a6d22b,2024-Oct-01 00:00:00,10.0,TH,SM,,FIXD,
5216b3df-9b9,SCH2,a838353e,95,31a6d22b,2024-Sep-02 00:00:00,10.0,BU,DM,,FIXD,N
5216b3df-9b9,SCH2,43d7305f,96,31a6d22b,2024-Sep-25 00:00:00,10.0,VA,BU,,FIXD,
5216b3df-9b9,SCH2,cc1530ab,97,31a6d22b,2024-Oct-18 00:00:00,10.0,VA,,,PERM,K
5216b3df-9b9,SCH2,f578ea90,98,31a6d22b,2024-Sep-06 00:00:00,10.0,SM,,,PERM,
5216b3df-9b9,SCH2,c3c022c0,99,31a6d22b,2024-Oct-02 00:00:00,10.0,PA,,,PERM,A
5230c3d6-80b,SCH1,d4a19849,100,137d7571,2024-Dec-19 00:00:00,10.0,BU,,,FIXD,
5230c3d6-80b,SCH1,705c7793,101,137d7571,2024-Nov-26 00:00:00,10.0,VP,,,LNCH,N
592c7b63-67a,SCH5,780ac48b,102,551a02aa,2024-Oct-16 00:00:00,10.0,RA,MT,,LNCH,
592c7b63-67a,SCH5,1abeb3a6,103,551a02aa,2024-Oct-14 00:00:00,10.0,DB,,,FIXD,K
