pupilonrolltableid,NativeId,termlyexclusionsonrolltableid,termlyexclusionsonrollorderseqcolumn,sourceid,startdate,sessions,reason1,reason2,reason3,category,senprovision
001e7b6b-4f5,SCH4,fea20214,1,d701bde2,2024-Dec-01 00:00:00,10.0,PP,,,PERM,
001e7b6b-4f5,SCH4,4df2246e,2,d701bde2,2024-Nov-20 00:00:00,10.0,PA,,,FIXD,
001e7b6b-4f5,SCH4,f92d2d3f,3,d701bde2,2024-Sep-14 00:00:00,10.0,PP,,RA,PERM,
001e7b6b-4f5,SCH4,1ef53d80,4,d701bde2,2024-Oct-16 00:00:00,10.0,OT,,,LNCH,
001e7b6b-4f5,SCH4,1f03184a,5,d701bde2,2024-Oct-21 00:00:00,10.0,RA,,,PERM,
001e7b6b-4f5,SCH4,8186d1cb,6,d701bde2,2024-Oct-11 00:00:00,10.0,SM,,,LNCH,
001e7b6b-4f5,SCH4,a2be440f,7,d701bde2,2024-Sep-23 00:00:00,10.0,VP,SM,,PERM,
001e7b6b-4f5,SCH4,dcba03d3,8,d701bde2,2024-Oct-29 00:00:00,10.0,OT,PP,,LNCH,
001e7b6b-4f5,SCH4,1ec85eb6,9,d701bde2,2024-Nov-19 00:00:00,10.0,PP,,,LNCH,
003aa1bb-f6b,SCH2,a20c3d13,10,8adf6275,2024-Nov-13 00:00:00,10.0,VA,VP,PP,LNCH,N
006db8dd-913,SCH5,1ca1761c,11,226513ea,2024-Sep-16 00:00:00,10.0,PP,,,LNCH,
006db8dd-913,SCH5,eadc327f,12,226513ea,2024-Oct-12 00:00:00,10.0,RA,,,PERM,
006db8dd-913,SCH5,0bda47e4,13,226513ea,2024-Dec-12 00:00:00,10.0,VA,,,PERM,
006db8dd-913,SCH5,5dfd166b,14,226513ea,2024-Sep-08 00:00:00,10.0,DM,,,FIXD,
006db8dd-913,SCH5,5b096e63,15,226513ea,2024-Sep-20 00:00:00,10.0,VA,,,PERM,
007a60d5-079,SCH1,d82b9c7c,16,62d16288,2024-Dec-17 00:00:00,10.0,DA,,,PERM,S
007ce401-b14,SCH1,b3d2b37f,17,1b6182b3,2024-Sep-15 00:00:00,10.0,VP,,,PERM,S
007ce401-b14,SCH1,2ec81644,18,1b6182b3,2024-Sep-25 00:00:00,10.0,SM,PP,,FIXD,S
007ce401-b14,SCH1,9b094b0b,19,1b6182b3,2024-Sep-18 00:00:00,10.0,VP,BU,,FIXD,S
007ce401-b14,SCH1,fd2cff8c,20,1b6182b3,2024-Dec-14 00:00:00,10.0,SM,,,FIXD,S
007ce401-b14,SCH1,486f9f78,21,1b6182b3,2024-Dec-08 00:00:00,10.0,RA,,,PERM,S
007ce401-b14,SCH1,0015fcb7,22,1b6182b3,2024-Dec-07 00:00:00,10.0,RA,,,PERM,S
007ce401-b14,SCH1,d6226d8e,23,1b6182b3,2024-Oct-16 00:00:00,10.0,VA,RA,,FIXD,S
007ce401-b14,SCH1,7e255e81,24,1b6182b3,2024-Nov-19 00:00:00,10.0,PA,,,FIXD,S
007ce401-b14,SCH1,6e2731ba,25,1b6182b3,2024-Sep-05 00:00:00,10.0,TH,,,LNCH,S
007ce401-b14,SCH1,48d152b4,26,1b6182b3,2024-Oct-13 00:00:00,10.0,PP,,,PERM,S
0080a909-ddc,SCH2,70b59f7a,27,467c8e5f,2024-Dec-08 00:00:00,10.0,DB,DB,,FIXD,
0080a909-ddc,SCH2,32277c69,28,467c8e5f,2024-Nov-10 00:00:00,10.0,SM,,,FIXD,
0080a909-ddc,SCH2,b6486ea5,29,467c8e5f,2024-Sep-16 00:00:00,10.0,TH,,,PERM,
0080a909-ddc,SCH2,2433b7ee,30,467c8e5f,2024-Dec-17 00:00:00,10.0,BU,,,PERM,
0080a909-ddc,SCH2,d640c728,31,467c8e5f,2024-Oct-01 00:00:00,10.0,VP,,,PERM,
0080a909-ddc,SCH2,73995cc3,32,467c8e5f,2024-Oct-16 00:00:00,10.0,VA,,,FIXD,
00a2895e-7c0,SCH5,938f8c92,33,3fb83658,2024-Nov-12 00:00:00,10.0,VP,VA,,PERM,
00a2895e-7c0,SCH5,7d977406,34,3fb83658,2024-Oct-11 00:00:00,10.0,PA,,OT,FIXD,
00a2895e-7c0,SCH5,3c2a4336,35,3fb83658,2024-Sep-04 00:00:00,10.0,SM,,,PERM,
00a2895e-7c0,SCH5,b1aec6a6,36,3fb83658,2024-Oct-19 00:00:00,10.0,SM,RA,,PERM,
00a2895e-7c0,SCH5,99598b8b,37,3fb83658,2024-Dec-10 00:00:00,10.0,VP,,,PERM,
00b47c69-f0d,SCH1,6a4dd106,38,62e39482,2024-Nov-25 00:00:00,10.0,BU,,,LNCH,K
00b47c69-f0d,SCH1,ac986b24,39,62e39482,2024-Nov-14 00:00:00,10.0,VA,,,PERM,K
00d575a7-dc8,SCH7,6a21bb7f,40,ad2bdd55,2024-Oct-18 00:00:00,10.0,DM,,PA,PERM,
00d575a7-dc8,SCH7,f58a54d1,41,ad2bdd55,2024-Dec-16 00:00:00,10.0,PP,PA,,PERM,
00e2f966-e88,SCH7,c3b746fe,42,d0b78ac7,2024-Sep-19 00:00:00,10.0,TH,BU,,PERM,E
00e2f966-e88,SCH7,1b58b5bb,43,d0b78ac7,2024-Dec-15 00:00:00,10.0,TH,,,PERM,E
00e2f966-e88,SCH7,7448160e,44,d0b78ac7,2024-Oct-26 00:00:00,10.0,BU,TH,,PERM,E
00e2f966-e88,SCH7,8ec138f2,45,d0b78ac7,2024-Sep-03 00:00:00,10.0,PA,SM,,FIXD,E
00e2f966-e88,SCH7,3016e8df,46,d0b78ac7,2024-Oct-01 00:00:00,10.0,RA,VP,,PERM,E
00e2f966-e88,SCH7,0144f7f1,47,d0b78ac7,2024-Sep-23 00:00:00,10.0,VA,,,FIXD,E
00e2f966-e88,SCH7,207b71ce,48,d0b78ac7,2024-Sep-07 00:00:00,10.0,SM,PP,,FIXD,E
00e2f966-e88,SCH7,e9c64924,49,d0b78ac7,2024-Sep-13 00:00:00,10.0,RA,PP,,PERM,E
00e2f966-e88,SCH7,24fdd254,50,d0b78ac7,2024-Oct-16 00:00:00,10.0,VA,SM,,PERM,E
00f6b660-59e,SCH2,a3e72a77,51,66c86255,2024-Sep-02 00:00:00,10.0,VP,,,PERM,
00f6b660-59e,SCH2,2894906f,52,66c86255,2024-Nov-22 00:00:00,10.0,PP,,,FIXD,
00f6b660-59e,SCH2,81d7b41e,53,66c86255,2024-Oct-18 00:00:00,10.0,RA,,,FIXD,
00f6b660-59e,SCH2,d507b896,54,66c86255,2024-Dec-17 00:00:00,10.0,VP,TH,,PERM,
00f6b660-59e,SCH2,10a70716,55,66c86255,2024-Nov-08 00:00:00,10.0,VA,,,LNCH,
00f6b660-59e,SCH2,e594c3dc,56,66c86255,2024-Oct-31 00:00:00,10.0,RA,,,LNCH,
00f6b660-59e,SCH2,0c0ebd5a,57,66c86255,2024-Oct-26 00:00:00,10.0,PA,VA,,FIXD,
00f6b660-59e,SCH2,d994b653,58,66c86255,2024-Nov-24 00:00:00,10.0,VP,,,LNCH,
0162b45c-a58,SCH7,00c89542,59,7d21dc34,2024-Dec-05 00:00:00,10.0,VA,,,FIXD,
0162b45c-a58,SCH7,e1f1e52d,60,7d21dc34,2024-Nov-07 00:00:00,10.0,DB,,,FIXD,
0185afe5-85c,SCH2,9ef4fb16,61,86e3abe9,2024-Oct-06 00:00:00,10.0,DM,,,LNCH,
0185afe5-85c,SCH2,6fdf46fe,62,86e3abe9,2024-Sep-13 00:00:00,10.0,DM,,,FIXD,
0185afe5-85c,SCH2,21269b10,63,86e3abe9,2024-Sep-28 00:00:00,10.0,SM,,,PERM,
0185afe5-85c,SCH2,7fdbe7e9,64,86e3abe9,2024-Oct-24 00:00:00,10.0,SM,,,LNCH,
0185afe5-85c,SCH2,5157684f,65,86e3abe9,2024-Nov-23 00:00:00,10.0,PP,,,FIXD,
0185afe5-85c,SCH2,d9ae9e67,66,86e3abe9,2024-Dec-08 00:00:00,10.0,VP,,,PERM,
0185afe5-85c,SCH2,81fb5a4c,67,86e3abe9,2024-Dec-09 00:00:00,10.0,PP,,,FIXD,
01af0693-90a,SCH7,6e65e635,68,2dc17e6b,2024-Dec-14 00:00:00,10.0,PP,,,PERM,P
01af0693-90a,SCH7,49dcd798,69,2dc17e6b,2024-Oct-14 00:00:00,10.0,OT,,,LNCH,P
01af0693-90a,SCH7,a05691ad,70,2dc17e6b,2024-Oct-23 00:00:00,10.0,RA,,,FIXD,P
01af0693-90a,SCH7,b163a474,71,2dc17e6b,2024-Sep-06 00:00:00,10.0,RA,,,PERM,P
01af0693-90a,SCH7,afee29d3,72,2dc17e6b,2024-Dec-19 00:00:00,10.0,VA,,,PERM,P
01af0693-90a,SCH7,a1562c49,73,2dc17e6b,2024-Sep-04 00:00:00,10.0,VP,,,PERM,P
01af0693-90a,SCH7,e9bebb46,74,2dc17e6b,2024-Sep-12 00:00:00,10.0,BU,,,LNCH,P
01af0693-90a,SCH7,5eefb4f0,75,2dc17e6b,2024-Oct-20 00:00:00,10.0,BU,,,PERM,P
01af0693-90a,SCH7,fcc4de96,76,2dc17e6b,2024-Sep-23 00:00:00,10.0,SM,,,FIXD,P
01af0693-90a,SCH7,136cb7dc,77,2dc17e6b,2024-Sep-08 00:00:00,10.0,DM,,,PERM,P
0207ff07-7f7,SCH3,85788a1f,78,fe699b28,2024-Oct-21 00:00:00,10.0,PP,,,FIXD,S
0207ff07-7f7,SCH3,74f68030,79,fe699b28,2024-Nov-25 00:00:00,10.0,PP,,,FIXD,S
