pupilnolongeronrolltableid,NativeId,termlysessiondetailsoffrolltableid,termlysessiondetailsoffrollorderseqcolumn,sourceid,sessions,attendancereason
01080e0c-45b,SCH5,ba8c997a,9,8140d532,142.0,E
01080e0c-45b,SCH5,74ff7771,1,8140d532,128.0,H
01080e0c-45b,SCH5,0b3dd53f,6,8140d532,130.0,I
01080e0c-45b,SCH5,b00520e7,8,8140d532,133.0,M
01080e0c-45b,SCH5,15c47336,4,8140d532,126.0,N
01080e0c-45b,SCH5,db597b0e,7,8140d532,131.0,S
01080e0c-45b,SCH5,9edc2245,3,8140d532,132.0,X
01080e0c-45b,SCH5,f7c4ed3a,10,8140d532,138.0,Z
01dfc5f8-834,SCH2,7dac80c4,11,bbb88aae,126.0,C
01dfc5f8-834,SCH2,944c67d8,12,bbb88aae,120.0,M
01dfc5f8-834,SCH2,4f44e114,15,bbb88aae,139.0,U
01dfc5f8-834,SCH2,83f107bc,14,bbb88aae,139.0,Z
0328b124-b96,SCH8,b9d80820,18,37cce5c6,128.0,C
0328b124-b96,SCH8,52db056e,17,37cce5c6,131.0,E
0328b124-b96,SCH8,cfe2f6e8,19,37cce5c6,133.0,I
0328b124-b96,SCH8,055aadcc,16,37cce5c6,136.0,T
0328b124-b96,SCH8,f361d0d0,20,37cce5c6,132.0,X
036af847-83a,SCH8,18961e93,22,71a1a214,141.0,C
036af847-83a,SCH8,c50b714c,21,71a1a214,129.0,M
0692560f-4c8,SCH6,72cffa00,24,29d9d02b,138.0,C
0692560f-4c8,SCH6,24a238f1,25,29d9d02b,132.0,M
0692560f-4c8,SCH6,2efcdc5b,23,29d9d02b,129.0,R
06d15343-253,SCH2,835cf70f,27,cb1df8d8,126.0,C
074ac27e-041,SCH3,e88ccd55,35,6a9c6bac,121.0,C
074ac27e-041,SCH3,b9d286f2,29,6a9c6bac,127.0,H
074ac27e-041,SCH3,c1a09ac1,31,6a9c6bac,133.0,I
074ac27e-041,SCH3,9fac22a2,32,6a9c6bac,126.0,R
074ac27e-041,SCH3,f59c2468,30,6a9c6bac,135.0,S
074ac27e-041,SCH3,f6cf22cc,28,6a9c6bac,124.0,Y
07988c39-7b6,SCH6,bf3519e7,36,15087d4c,126.0,G
07988c39-7b6,SCH6,f3a5358b,41,15087d4c,124.0,H
07988c39-7b6,SCH6,dd982f34,37,15087d4c,125.0,I
07988c39-7b6,SCH6,3ace5b73,38,15087d4c,132.0,N
07988c39-7b6,SCH6,c4960a92,43,15087d4c,134.0,O
07988c39-7b6,SCH6,58eebd31,42,15087d4c,126.0,T
0903e6de-706,SCH5,5949e7bc,45,f53547ae,123.0,E
0903e6de-706,SCH5,8ca9264a,44,f53547ae,130.0,N
096a33fd-3c4,SCH6,5c269edb,46,4f873fb9,131.0,G
096a33fd-3c4,SCH6,01163172,48,4f873fb9,123.0,I
096a33fd-3c4,SCH6,9f8abf0d,47,4f873fb9,134.0,M
0a3d35fa-4a0,SCH5,8033bd7c,51,a2065eca,135.0,H
0a3d35fa-4a0,SCH5,d666e197,53,a2065eca,124.0,M
0a3d35fa-4a0,SCH5,7d5fc13e,52,a2065eca,133.0,S
0b680153-77d,SCH6,ff170af0,56,1d3246f9,127.0,C
0b680153-77d,SCH6,3fa3e5cd,59,1d3246f9,127.0,E
0b680153-77d,SCH6,d1babc72,55,1d3246f9,133.0,G
0b680153-77d,SCH6,63927ac8,57,1d3246f9,134.0,H
0b680153-77d,SCH6,1a625d0a,54,1d3246f9,133.0,M
0be50e5b-a48,SCH8,fb608cbd,64,71a4a4dd,129.0,G
0be50e5b-a48,SCH8,22f3e095,66,71a4a4dd,132.0,N
0be50e5b-a48,SCH8,9aa1cadf,63,71a4a4dd,136.0,R
0be50e5b-a48,SCH8,811b3ceb,65,71a4a4dd,125.0,S
0be50e5b-a48,SCH8,3d2d92b6,62,71a4a4dd,127.0,T
0d6cae32-9fa,SCH6,7484a33e,67,27388f26,131.0,C
0d6cae32-9fa,SCH6,4cc3f16c,68,27388f26,133.0,M
0e6c3ea7-acc,SCH7,fd92a293,70,56ff8eea,124.0,C
0e6c3ea7-acc,SCH7,b6b7da9d,71,56ff8eea,120.0,E
0e6c3ea7-acc,SCH7,79378d11,69,56ff8eea,125.0,R
0f61728c-0fd,SCH4,8bbb28f8,74,55dfc58d,135.0,C
0f61728c-0fd,SCH4,8f6e72c0,73,55dfc58d,128.0,E
0f61728c-0fd,SCH4,3b1e076c,76,55dfc58d,125.0,G
0f61728c-0fd,SCH4,eca47086,75,55dfc58d,137.0,S
0f61728c-0fd,SCH4,9ec79423,72,55dfc58d,,Y
0f665c65-dc2,SCH8,f5f307c2,79,11e52f82,127.0,G
0f665c65-dc2,SCH8,bf1f4f1f,78,11e52f82,130.0,O
1071e2d9-c65,SCH5,f01948df,80,ebf3c7cc,129.0,E
1071e2d9-c65,SCH5,43b4c40c,86,ebf3c7cc,130.0,G
1071e2d9-c65,SCH5,d2280b86,84,ebf3c7cc,137.0,M
1071e2d9-c65,SCH5,ed2b120e,81,ebf3c7cc,134.0,N
112d828e-d30,SCH3,8b8481d5,88,528d3c70,131.0,I
112d828e-d30,SCH3,c3805599,87,528d3c70,130.0,U
11c1db33-719,SCH3,caa6847b,91,414ec460,131.0,E
11c1db33-719,SCH3,1560854e,94,414ec460,125.0,G
11c1db33-719,SCH3,3d8a23e4,92,414ec460,125.0,S
11c1db33-719,SCH3,07feac88,89,414ec460,133.0,T
11c1db33-719,SCH3,10c22652,93,414ec460,125.0,Y
11c1db33-719,SCH3,66ed82c2,90,414ec460,125.0,Z
12006ab5-3c9,SCH4,a94d0050,98,4987af6d,134.0,E
12006ab5-3c9,SCH4,f454c217,97,4987af6d,124.0,G
12006ab5-3c9,SCH4,75465c2d,95,4987af6d,132.0,N
12006ab5-3c9,SCH4,5c0d3db2,96,4987af6d,125.0,U
12975d34-d08,SCH1,874cbbc7,99,fe0b491f,132.0,Y
1443ef7d-d85,SCH6,cf52db6d,105,adc300b0,138.0,G
1443ef7d-d85,SCH6,9961d578,101,adc300b0,123.0,H
1443ef7d-d85,SCH6,85e11156,102,adc300b0,137.0,N
1443ef7d-d85,SCH6,7c9d3aff,100,adc300b0,130.0,O
1443ef7d-d85,SCH6,4d144311,104,adc300b0,136.0,R
1443ef7d-d85,SCH6,28622fca,103,adc300b0,130.0,S
14784faa-02d,SCH4,cb931c58,106,8a60780b,132.0,C
14784faa-02d,SCH4,74ff6518,107,8a60780b,135.0,G
14784faa-02d,SCH4,58d0993b,108,8a60780b,128.0,H
14784faa-02d,SCH4,a5c57838,113,8a60780b,120.0,I
14784faa-02d,SCH4,5c8d83a0,110,8a60780b,127.0,M
14784faa-02d,SCH4,571f8a8e,112,8a60780b,123.0,S
14784faa-02d,SCH4,a1624e84,115,8a60780b,129.0,T
14784faa-02d,SCH4,451fec34,109,8a60780b,125.0,Z
15599ab9-8db,SCH3,51982120,117,8d9e89fa,135.0,E
15599ab9-8db,SCH3,190fb335,116,8d9e89fa,134.0,H
1562cc94-53b,SCH3,7a5f33b0,125,ae5952e4,125.0,E
1562cc94-53b,SCH3,85d69ad8,126,ae5952e4,132.0,G
1562cc94-53b,SCH3,61bf4d2e,123,ae5952e4,125.0,H
1562cc94-53b,SCH3,5088dc93,122,ae5952e4,129.0,X
1562cc94-53b,SCH5,4f27b803,120,436110e1,117.0,I
1562cc94-53b,SCH5,e66f0047,119,436110e1,126.0,M
1562cc94-53b,SCH5,36815a97,118,436110e1,129.0,N
1562cc94-53b,SCH5,df2ea73f,121,436110e1,129.0,O
163ef103-bdf,SCH3,5da76c27,129,ddf91af6,129.0,E
163ef103-bdf,SCH3,92d54131,128,ddf91af6,122.0,H
1654402c-bea,SCH8,2fb95bab,136,830e1666,133.0,C
1654402c-bea,SCH8,a26a2ff4,134,830e1666,125.0,H
1654402c-bea,SCH8,21f964a3,132,830e1666,136.0,I
1654402c-bea,SCH8,b13b4ece,133,830e1666,123.0,N
1654402c-bea,SCH8,fbe727dd,131,830e1666,130.0,R
168eb4ea-88e,SCH3,3190b0d2,137,d7ea8c18,138.0,G
168eb4ea-88e,SCH3,e525331b,138,d7ea8c18,127.0,H
168eb4ea-88e,SCH3,4579779f,139,d7ea8c18,132.0,I
16cc8db8-9ef,SCH1,d3e897e3,144,68a60631,132.0,G
16cc8db8-9ef,SCH1,bbedd969,142,68a60631,121.0,I
16cc8db8-9ef,SCH1,9e0e240a,143,68a60631,118.0,N
16cc8db8-9ef,SCH1,768f13f8,147,68a60631,136.0,R
16cc8db8-9ef,SCH1,0760c409,149,68a60631,128.0,T
16cc8db8-9ef,SCH1,b99a05e8,140,68a60631,127.0,U
16cc8db8-9ef,SCH1,458b4aa6,141,68a60631,138.0,X
16cc8db8-9ef,SCH6,0593d145,154,1ec6e30e,134.0,I
16cc8db8-9ef,SCH6,794dcb74,151,1ec6e30e,124.0,M
16cc8db8-9ef,SCH6,d895896d,150,1ec6e30e,132.0,N
16cc8db8-9ef,SCH6,ae11982b,153,1ec6e30e,131.0,R
16cc8db8-9ef,SCH6,d27799d8,156,1ec6e30e,134.0,S
16d4ed7f-9ee,SCH2,1a015be9,158,526ef8ba,124.0,G
16d4ed7f-9ee,SCH2,e190b236,161,526ef8ba,133.0,I
16d4ed7f-9ee,SCH2,d8c80211,160,526ef8ba,141.0,R
16d4ed7f-9ee,SCH2,0ee810be,157,526ef8ba,132.0,S
16d4ed7f-9ee,SCH2,a6431232,159,526ef8ba,129.0,U
1731e571-660,SCH4,07ab540d,165,ebc58fd7,121.0,C
1731e571-660,SCH4,90257eb8,164,ebc58fd7,125.0,H
1731e571-660,SCH4,3a37d8c8,163,ebc58fd7,133.0,S
1893358a-01a,SCH5,ea87e9c7,168,bb24b936,134.0,H
1893358a-01a,SCH5,011321b8,166,bb24b936,,R
1893358a-01a,SCH5,18cc01c4,167,bb24b936,132.0,T
18c2cbf3-3cf,SCH8,5feca4cd,169,3b7c002b,132.0,C
18c2cbf3-3cf,SCH8,c0dfb7cf,173,3b7c002b,130.0,E
18c2cbf3-3cf,SCH8,e9983d92,174,3b7c002b,129.0,G
18c2cbf3-3cf,SCH8,e2219b94,175,3b7c002b,135.0,M
18c2cbf3-3cf,SCH8,8c9db32b,170,3b7c002b,124.0,N
18c2cbf3-3cf,SCH8,10038446,171,3b7c002b,139.0,O
18c2cbf3-3cf,SCH8,e35cb28a,176,3b7c002b,125.0,Y
1954a7ee-06b,SCH7,16544023,186,f6eeebea,127.0,C
1954a7ee-06b,SCH7,69e9f3a1,177,f6eeebea,134.0,E
1954a7ee-06b,SCH7,e8050433,183,f6eeebea,131.0,G
1954a7ee-06b,SCH7,63c3e4af,182,f6eeebea,138.0,H
1954a7ee-06b,SCH7,643467db,179,f6eeebea,133.0,I
1954a7ee-06b,SCH7,c0e2d05f,180,f6eeebea,126.0,M
1954a7ee-06b,SCH7,9910ed89,181,f6eeebea,130.0,N
1954a7ee-06b,SCH7,ba86bd3e,184,f6eeebea,127.0,T
1954a7ee-06b,SCH7,7c9af826,178,f6eeebea,124.0,X
1a3e9dee-5ba,SCH8,bfb29675,188,ca1f5927,130.0,I
1a3e9dee-5ba,SCH8,f91ea71a,187,ca1f5927,134.0,M
1b79dc2b-dd0,SCH2,d3b27c3f,191,f4d7984e,120.0,C
1b79dc2b-dd0,SCH2,cbced373,192,f4d7984e,132.0,H
1b79dc2b-dd0,SCH2,21955a7b,189,f4d7984e,123.0,M
1b79dc2b-dd0,SCH2,dbd7aecf,190,f4d7984e,129.0,Z
1d4d45cb-6e1,SCH6,8d081503,193,c9df28cf,127.0,C
1d4d45cb-6e1,SCH6,ab793b1f,194,c9df28cf,134.0,G
1d4d45cb-6e1,SCH6,ea8ef289,196,c9df28cf,129.0,X
1d7b2d8f-5f0,SCH1,8289c6b9,199,9d67c204,136.0,I
1d7b2d8f-5f0,SCH1,1bd133cb,197,9d67c204,140.0,N
1d7b2d8f-5f0,SCH1,9ffac79d,198,9d67c204,127.0,Y
1d7cbbae-4fd,SCH5,97d30de5,201,48166086,126.0,C
1d7cbbae-4fd,SCH5,a621e3ce,202,48166086,124.0,E
1d7cbbae-4fd,SCH5,d930d572,203,48166086,128.0,X
1d7cbbae-4fd,SCH5,37cd9ddf,200,48166086,128.0,Z
1e9de64f-25b,SCH6,9a10c2cb,213,19a3cf00,124.0,C
1e9de64f-25b,SCH6,1b652a71,204,19a3cf00,121.0,H
1e9de64f-25b,SCH6,e1ff66c3,206,19a3cf00,131.0,I
1e9de64f-25b,SCH6,83c8ee08,211,19a3cf00,130.0,O
1e9de64f-25b,SCH6,1c275069,208,19a3cf00,138.0,R
1e9de64f-25b,SCH6,dcde3d96,210,19a3cf00,131.0,T
1e9de64f-25b,SCH6,1b2ce735,205,19a3cf00,133.0,U
1ebec59e-da5,SCH5,704711b2,214,2175af90,126.0,E
1ebec59e-da5,SCH5,3c351dd4,215,2175af90,123.0,H
1f828f95-542,SCH3,347fb036,218,c258ed2b,129.0,C
1f828f95-542,SCH3,e12a7e2c,220,c258ed2b,132.0,G
1f828f95-542,SCH3,b222bc25,217,c258ed2b,125.0,M
1f828f95-542,SCH3,ecc7650f,216,c258ed2b,130.0,N
1f828f95-542,SCH3,40eb3d12,219,c258ed2b,133.0,O
20d86a54-a15,SCH8,ad532e5e,221,dce0fe00,139.0,G
20d86a54-a15,SCH8,d6dafaa4,223,dce0fe00,126.0,I
20d86a54-a15,SCH8,7ffb39d7,226,dce0fe00,130.0,M
20d86a54-a15,SCH8,d33db5c8,229,dce0fe00,131.0,N
20d86a54-a15,SCH8,2926a883,222,dce0fe00,128.0,S
20d86a54-a15,SCH8,f4b939a6,225,dce0fe00,137.0,Z
22116cd2-249,SCH2,e5780111,231,ca155ee8,139.0,H
2275ad2c-647,SCH2,fdefc9d4,232,ad66eb70,127.0,E
24086543-42d,SCH5,a5a17ef5,236,546a7019,136.0,C
24086543-42d,SCH5,b7e1de7b,233,546a7019,131.0,G
24086543-42d,SCH5,75a05175,235,546a7019,129.0,H
24086543-42d,SCH5,9ada96d7,234,546a7019,129.0,S
24086543-42d,SCH5,f0f0ea87,240,546a7019,121.0,Y
247075c4-446,SCH5,f6561ddf,243,7ddd441c,125.0,G
247075c4-446,SCH5,2164e57d,246,7ddd441c,128.0,H
247075c4-446,SCH5,393ac346,241,7ddd441c,137.0,I
247075c4-446,SCH5,9aa25a57,250,7ddd441c,132.0,M
247075c4-446,SCH5,80957c3b,242,7ddd441c,135.0,O
247075c4-446,SCH5,5b6b11fc,248,7ddd441c,132.0,S
247075c4-446,SCH5,813f44c2,244,7ddd441c,135.0,U
26670992-04f,SCH4,6b2f5e35,257,5162b970,129.0,C
26670992-04f,SCH4,fe16ea27,258,5162b970,135.0,G
26670992-04f,SCH4,816c23c7,253,5162b970,128.0,H
26670992-04f,SCH4,9893a771,251,5162b970,120.0,I
26670992-04f,SCH4,5c5a0ed4,256,5162b970,131.0,M
26670992-04f,SCH4,a10a92cf,259,5162b970,131.0,N
