pupilonrolltableid,NativeId,termlysessiondetailsonrolltableid,termlysessiondetailsonrollorderseqcolumn,sourceid,sessions,attendancereason
0002e817-8ca,SCH7,028bdbe4,2,e2063384,133.0,C
0002e817-8ca,SCH7,e42b0f30,1,e2063384,118.0,N
0002e817-8ca,SCH7,894f89b1,3,e2063384,128.0,S
001cd0b1-3d1,SCH5,dc667f10,5,9d229066,126.0,E
001cd0b1-3d1,SCH5,b9df38ae,4,9d229066,132.0,M
001e7b6b-4f5,SCH4,0e436b09,9,d701bde2,125.0,C
001e7b6b-4f5,SCH4,1941d208,7,d701bde2,122.0,I
001e7b6b-4f5,SCH4,48077963,8,d701bde2,133.0,N
002c252a-dd6,SCH8,288efde6,13,56cf728e,135.0,C
002c252a-dd6,SCH8,8701f5a4,10,56cf728e,142.0,M
002c252a-dd6,SCH8,df1ddfa4,12,56cf728e,140.0,N
002c252a-dd6,SCH8,0e8c3467,11,56cf728e,138.0,R
00389221-b4e,SCH6,decb4d47,17,b1841a22,133.0,C
00389221-b4e,SCH6,aa6d1707,15,b1841a22,135.0,E
00389221-b4e,SCH6,8e331b22,16,b1841a22,133.0,H
00389221-b4e,SCH6,54abec9c,19,b1841a22,123.0,M
00389221-b4e,SCH6,bc8682b0,14,b1841a22,137.0,S
00389221-b4e,SCH6,e75d888b,18,b1841a22,140.0,U
003aa1bb-f6b,SCH2,05f26207,24,8adf6275,125.0,C
003aa1bb-f6b,SCH2,5fbc8fe5,21,8adf6275,125.0,E
003aa1bb-f6b,SCH2,f6f9161e,23,8adf6275,120.0,G
003aa1bb-f6b,SCH2,b1a0697f,22,8adf6275,134.0,I
003aa1bb-f6b,SCH2,5194024b,20,8adf6275,129.0,O
004fcd28-df6,SCH1,eaaa0a71,29,01e48b77,135.0,C
004fcd28-df6,SCH1,2547c3be,25,01e48b77,127.0,G
004fcd28-df6,SCH1,b29524ea,30,01e48b77,125.0,I
004fcd28-df6,SCH1,c3b622f1,28,01e48b77,123.0,N
004fcd28-df6,SCH1,959368c1,26,01e48b77,134.0,U
0058974f-905,SCH4,266ed36b,36,9c7937ab,134.0,C
0058974f-905,SCH4,9608233a,37,9c7937ab,129.0,G
0058974f-905,SCH4,6abb06a4,38,9c7937ab,135.0,H
0058974f-905,SCH4,6626ceba,39,9c7937ab,131.0,M
0058974f-905,SCH4,ffed6166,34,9c7937ab,128.0,O
0058974f-905,SCH4,0ae0c263,35,9c7937ab,134.0,Z
0068613a-fcf,SCH7,d1cad0a2,48,aad18ec8,133.0,G
0068613a-fcf,SCH7,1746e21d,46,aad18ec8,129.0,H
0068613a-fcf,SCH7,5c0923f5,44,aad18ec8,131.0,I
0068613a-fcf,SCH7,9da77374,40,aad18ec8,131.0,M
0068613a-fcf,SCH7,ea3de92a,41,aad18ec8,128.0,N
0068613a-fcf,SCH7,37fb73b6,43,aad18ec8,128.0,O
006a8cdc-33d,SCH5,04bb9a77,53,989bd84b,136.0,C
006a8cdc-33d,SCH5,010c3229,54,989bd84b,124.0,H
006a8cdc-33d,SCH5,c71dc1a4,50,989bd84b,131.0,I
006a8cdc-33d,SCH5,cbfb6316,51,989bd84b,138.0,M
006db8dd-913,SCH5,37c689cf,64,226513ea,129.0,#
006db8dd-913,SCH5,0813e320,58,226513ea,131.0,C
006db8dd-913,SCH5,a1ceb039,57,226513ea,134.0,G
006db8dd-913,SCH5,6388a04b,62,226513ea,129.0,H
006db8dd-913,SCH5,564deb6d,56,226513ea,126.0,I
006db8dd-913,SCH5,b65f81aa,63,226513ea,130.0,O
006db8dd-913,SCH5,23157d7b,59,226513ea,133.0,X
006db8dd-913,SCH5,de424fa4,61,226513ea,133.0,Y
00737891-2c8,SCH3,41976705,68,490d57e8,130.0,E
00737891-2c8,SCH3,6764278e,71,490d57e8,,G
00737891-2c8,SCH3,6245a4d9,67,490d57e8,131.0,H
00737891-2c8,SCH3,62f3abda,66,490d57e8,131.0,I
00737891-2c8,SCH3,f03590a9,69,490d57e8,136.0,O
00737891-2c8,SCH3,e1ead081,70,490d57e8,138.0,X
007a60d5-079,SCH1,bf883400,74,62d16288,129.0,C
007a60d5-079,SCH1,ccea9714,76,62d16288,125.0,E
007a60d5-079,SCH1,3ff990ce,79,62d16288,123.0,G
007a60d5-079,SCH1,f77ba156,75,62d16288,134.0,I
007a60d5-079,SCH1,868b6363,81,62d16288,126.0,M
007a60d5-079,SCH1,219e7c09,72,62d16288,129.0,O
