pupilonrolltableid,NativeId,fsmperiodtableid,fsmperiodorderseqcolumn,sourceid,fsmstartdate,fsmenddate,ukcountry
001e7b6b-4f5,SCH4,29cb6438,1,55b2d75a,2025-Feb-16 00:00:00,2025-Feb-13 00:00:00,ENG
001e7b6b-4f5,SCH4,1112f3c6,2,55b2d75a,2025-Mar-08 00:00:00,,ENG
001e7b6b-4f5,SCH4,5951a776,3,55b2d75a,2025-Apr-03 00:00:00,,SCT
002c252a-dd6,SCH8,718372a0,4,f8daba2b,2025-Feb-22 00:00:00,,ENG
002c252a-dd6,SCH8,9c83ceab,5,f8daba2b,2025-Feb-15 00:00:00,2025-Jan-20 00:00:00,ENG
002c252a-dd6,SCH8,7dafbcc7,6,f8daba2b,2025-Mar-15 00:00:00,2025-Mar-28 00:00:00,ENG
002c252a-dd6,SCH8,e23cfdf1,7,f8daba2b,2025-Mar-11 00:00:00,,ENG
003aa1bb-f6b,SCH2,be0d2566,8,7ea05b11,2025-Mar-05 00:00:00,,NIR
003aa1bb-f6b,SCH2,44384895,9,7ea05b11,2025-Mar-19 00:00:00,,SCT
003aa1bb-f6b,SCH2,07117ec2,10,7ea05b11,2025-Jan-23 00:00:00,2025-Feb-19 00:00:00,ENG
003aa1bb-f6b,SCH2,449c92f9,11,7ea05b11,2025-Feb-21 00:00:00,2025-Jan-15 00:00:00,ENG
003aa1bb-f6b,SCH2,9fba6e9f,12,7ea05b11,2025-Mar-02 00:00:00,2025-Feb-21 00:00:00,ENG
003aa1bb-f6b,SCH2,503114bd,13,7ea05b11,2025-Mar-18 00:00:00,,ENG
003aa1bb-f6b,SCH2,ae0dea86,14,7ea05b11,2025-Apr-01 00:00:00,2025-Jan-16 00:00:00,ENG
0058974f-905,SCH4,d2a673c4,15,453a56f4,2025-Mar-26 00:00:00,,ENG
0058974f-905,SCH4,94604a8a,16,453a56f4,2025-Jan-21 00:00:00,2025-Mar-26 00:00:00,ENG
0058974f-905,SCH4,9a0fb007,17,453a56f4,2025-Jan-24 00:00:00,2025-Mar-29 00:00:00,ENG
0068613a-fcf,SCH7,ef4ba6d2,18,3d5ac3f1,2025-Mar-08 00:00:00,2025-Mar-07 00:00:00,SCT
006a8cdc-33d,SCH5,3fdf5a03,19,88889b4a,2025-Feb-19 00:00:00,2025-Mar-21 00:00:00,ENG
006a8cdc-33d,SCH5,cb8757bb,20,88889b4a,2025-Jan-30 00:00:00,,ENG
006a8cdc-33d,SCH5,6adba371,21,88889b4a,2025-Jan-19 00:00:00,,ENG
006a8cdc-33d,SCH5,f2c8905e,22,88889b4a,2025-Feb-08 00:00:00,,SCT
006a8cdc-33d,SCH5,965aab2f,23,88889b4a,2025-Apr-03 00:00:00,,WLS
006a8cdc-33d,SCH5,0f96beca,24,88889b4a,2025-Jan-19 00:00:00,,NIR
006a8cdc-33d,SCH5,7e8dd9ae,25,88889b4a,2025-Jan-14 00:00:00,2025-Feb-18 00:00:00,ENG
006a8cdc-33d,SCH5,9efb140d,26,88889b4a,2025-Feb-24 00:00:00,,ENG
00737891-2c8,SCH3,0e9a0d93,27,76673d5c,2025-Jan-15 00:00:00,2025-Jan-29 00:00:00,ENG
