pupilonrolltableid,NativeId,senneedstableid,senneedsorderseqcolumn,sourceid,sentyperank,sentype
003aa1bb-f6b,SCH2,54ba915e,3,7ea05b11,2.0,73e987da
003aa1bb-f6b,SCH2,2a52f02a,2,7ea05b11,1.0,79a0128e
003aa1bb-f6b,SCH2,620fe9d0,1,7ea05b11,3.0,7c3607d5
0058974f-905,SCH4,25ebb247,9,453a56f4,1.0,052363f3
0058974f-905,SCH4,5641ea82,8,453a56f4,1.0,25aac36c
0058974f-905,SCH4,3cc18f20,5,453a56f4,1.0,34fd21aa
0058974f-905,SCH4,deee35b1,4,453a56f4,5.0,5c42b982
0058974f-905,SCH4,18a49ffb,7,453a56f4,3.0,9d8e28ca
0058974f-905,SCH4,a68cab2f,6,453a56f4,1.0,aaf1438a
0058974f-905,SCH4,220dea4d,10,453a56f4,1.0,c10c78de
0058974f-905,SCH4,7407eb91,12,453a56f4,3.0,d20fb8b9
0058974f-905,SCH4,775dc9f3,11,453a56f4,3.0,f8812c26
006a8cdc-33d,SCH5,6df04bea,16,88889b4a,1.0,0a5bc676
006a8cdc-33d,SCH5,76f4d81a,14,88889b4a,1.0,5487dc5e
006a8cdc-33d,SCH5,3b467ddf,15,88889b4a,4.0,6d19270b
006a8cdc-33d,SCH5,e4614b4b,13,88889b4a,1.0,83ccd3b8
007a60d5-079,SCH1,c89de09c,19,b48148c8,3.0,0f8ba75d
007a60d5-079,SCH1,e9809157,22,b48148c8,2.0,4d989368
007a60d5-079,SCH1,cc1a9cd9,21,b48148c8,2.0,5b4c210d
007a60d5-079,SCH1,2430cb50,18,b48148c8,3.0,7bff1f90
007a60d5-079,SCH1,b1f9ba38,23,b48148c8,3.0,7d12b971
007a60d5-079,SCH1,53d6ff21,20,b48148c8,5.0,c4529a44
007a60d5-079,SCH1,f5581ef5,17,b48148c8,3.0,d469ff43
007a7429-53f,SCH1,f9eabb11,27,83bb1b2f,3.0,08763fa8
007a7429-53f,SCH1,988baf8c,29,83bb1b2f,1.0,28bf8387
007a7429-53f,SCH1,4e0e9fa6,26,83bb1b2f,1.0,43e10b34
007a7429-53f,SCH1,09347515,28,83bb1b2f,1.0,620f9b45
007a7429-53f,SCH1,b48eed4d,25,83bb1b2f,1.0,6ba06e01
007a7429-53f,SCH1,eded7058,24,83bb1b2f,2.0,c0b0b41a
008e6441-aa0,SCH8,3c3ec1b3,34,32c3678d,4.0,06b5c889
008e6441-aa0,SCH8,1d93e101,36,32c3678d,2.0,482a929c
008e6441-aa0,SCH8,b9fa5c99,30,32c3678d,5.0,7dc74ee7
008e6441-aa0,SCH8,0e8659ad,35,32c3678d,2.0,7e4d62a5
008e6441-aa0,SCH8,e38d1137,37,32c3678d,1.0,8e55ed60
008e6441-aa0,SCH8,76d456ba,32,32c3678d,4.0,8e854c4b
008e6441-aa0,SCH8,1d85ea51,33,32c3678d,1.0,cf141154
008e6441-aa0,SCH8,43509e84,31,32c3678d,1.0,e0e95172
00d575a7-dc8,SCH7,6c362711,38,11c20ce5,1.0,02ac1282
00d575a7-dc8,SCH7,99a8abe6,39,11c20ce5,3.0,dce76cd6
00e70ba4-b03,SCH3,3a9c40e2,40,7c59ac96,4.0,08adbecc
00e70ba4-b03,SCH3,476574bf,47,7c59ac96,4.0,16bb1d1d
00e70ba4-b03,SCH3,4d451103,48,7c59ac96,2.0,1c83ff72
00e70ba4-b03,SCH3,01b23352,46,7c59ac96,2.0,2cbdf7ff
00e70ba4-b03,SCH3,d3d01d52,43,7c59ac96,1.0,b7f21965
00e70ba4-b03,SCH3,4bfd1ef4,44,7c59ac96,1.0,ccd69cb4
00e70ba4-b03,SCH3,ee55f2a4,42,7c59ac96,1.0,d74bc4b5
00e70ba4-b03,SCH3,4a729342,49,7c59ac96,1.0,f5f8ee59
00e70ba4-b03,SCH3,37eb7960,45,7c59ac96,1.0,f7190b1d
00e70ba4-b03,SCH3,f9097a1f,41,7c59ac96,5.0,fdbfb2f0
00e9397d-27e,SCH2,56744f87,50,32444148,7.0,2f13e019
00e9397d-27e,SCH2,ab808cf6,51,32444148,4.0,6b9999c5
00e9397d-27e,SCH2,0f49b292,52,32444148,1.0,789ed492
010d4a31-384,SCH1,3bafa4b1,53,96d7b311,6.0,7797bd29
011c54a5-f16,SCH4,9af29af6,55,dc17bdc3,4.0,9130b194
011c54a5-f16,SCH4,dbd28710,54,dc17bdc3,1.0,c0462b0d
012d9587-01b,SCH2,0341d4c8,58,da0f8ce5,2.0,143a63ab
012d9587-01b,SCH2,962493b4,59,da0f8ce5,2.0,249d6920
012d9587-01b,SCH2,5ece27ca,57,da0f8ce5,1.0,75730560
012d9587-01b,SCH2,feb303c0,56,da0f8ce5,1.0,d356be2d
013dbd2f-629,SCH6,afd76938,64,1dadd8d9,1.0,62eaa96c
013dbd2f-629,SCH6,1b650053,63,1dadd8d9,1.0,839740a8
013dbd2f-629,SCH6,07540876,60,1dadd8d9,2.0,9fedc673
013dbd2f-629,SCH6,6edea034,62,1dadd8d9,1.0,a8aa549d
013dbd2f-629,SCH6,029ded2d,61,1dadd8d9,4.0,b46c3b5e
01488c87-02d,SCH2,980b60c0,65,07c9ecdc,2.0,4f649a4c
01488c87-02d,SCH2,05793019,67,07c9ecdc,1.0,a5eec132
01488c87-02d,SCH2,ec3db927,66,07c9ecdc,3.0,b9d26a99
0154b5e1-bf5,SCH2,a1ee4d95,72,8f390bb1,3.0,0ca67596
0154b5e1-bf5,SCH2,3cf9baac,69,8f390bb1,2.0,22c4699b
0154b5e1-bf5,SCH2,ed6cbac3,68,8f390bb1,6.0,35d1d00c
0154b5e1-bf5,SCH2,0675805c,73,8f390bb1,1.0,46e12016
0154b5e1-bf5,SCH2,9c5fc219,71,8f390bb1,1.0,e9e3d696
0154b5e1-bf5,SCH2,a3ce9373,70,8f390bb1,1.0,f5ec131f
015a50c2-e95,SCH3,463f8429,78,10fa2749,1.0,0c9f50ed
015a50c2-e95,SCH3,caae5800,75,10fa2749,4.0,2db35a02
015a50c2-e95,SCH3,db2c1ca4,76,10fa2749,1.0,3f5e8147
015a50c2-e95,SCH3,8bd2eb4b,80,10fa2749,1.0,88c08f5b
015a50c2-e95,SCH3,6acb6642,77,10fa2749,1.0,9d065220
015a50c2-e95,SCH3,ee89392b,79,10fa2749,1.0,a60d8b1c
015a50c2-e95,SCH3,3db1945b,81,10fa2749,2.0,ba68d206
015a50c2-e95,SCH3,76051671,74,10fa2749,5.0,d3122d8a
015e1d34-e1e,SCH6,4ce7801a,82,eea4b8ec,3.0,026637ce
015e1d34-e1e,SCH6,8b3933ee,84,eea4b8ec,2.0,15c7d4a1
015e1d34-e1e,SCH6,d0fbab36,86,eea4b8ec,1.0,37c6377e
015e1d34-e1e,SCH6,f2988e7c,85,eea4b8ec,1.0,59dfe522
015e1d34-e1e,SCH6,e5579cc2,83,eea4b8ec,4.0,732c349e
015e2ada-f29,SCH8,6d45c91a,93,c2775ccd,4.0,0bbfc6ad
015e2ada-f29,SCH8,1c6e9716,88,c2775ccd,1.0,0ef6d761
015e2ada-f29,SCH8,aee602e7,89,c2775ccd,2.0,21613e65
015e2ada-f29,SCH8,debfcc69,90,c2775ccd,1.0,3e04e2da
015e2ada-f29,SCH8,3b50ac55,91,c2775ccd,1.0,58e48e03
015e2ada-f29,SCH8,4180a455,87,c2775ccd,1.0,6252bd65
015e2ada-f29,SCH8,520135df,92,c2775ccd,3.0,9156dd52
015e2ada-f29,SCH8,a212f2e1,94,c2775ccd,4.0,abf12b33
015e2ada-f29,SCH8,0936cbf3,95,c2775ccd,5.0,d1b57298
0162b45c-a58,SCH7,7d3a4198,96,af2a696e,2.0,fd203fdf
0185afe5-85c,SCH2,e8ab9da2,98,f203a907,1.0,4e27c2ff
0185afe5-85c,SCH2,d99284fb,100,f203a907,1.0,762b5de1
0185afe5-85c,SCH2,26a75535,99,f203a907,1.0,84c57b35
0185afe5-85c,SCH2,9d5f366d,101,f203a907,1.0,a7c10966
0185afe5-85c,SCH2,ef6d0bf0,102,f203a907,4.0,b4639c59
0185afe5-85c,SCH2,e459de83,97,f203a907,1.0,f2a48800
01861a4b-993,SCH1,c4375164,103,cda5c33d,2.0,032371da
01861a4b-993,SCH1,a4f85e4b,104,cda5c33d,2.0,2f25e60f
01861a4b-993,SCH1,08ac1bba,105,cda5c33d,1.0,77c7d0c3
01861a4b-993,SCH1,208cfbac,106,cda5c33d,3.0,ab3d378b
0188f245-602,SCH8,427fc2fd,107,a2329ed9,3.0,67e9412b
0188f245-602,SCH8,d6aba2f2,110,a2329ed9,1.0,7e0186de
0188f245-602,SCH8,36e6870f,108,a2329ed9,9.0,dde53627
0188f245-602,SCH8,161e55ae,109,a2329ed9,1.0,ef59347b
0188f245-602,SCH8,de4e2139,111,a2329ed9,1.0,f91b4ebc
019cfc62-962,SCH6,0105453e,112,72ea9975,4.0,0740831a
019cfc62-962,SCH6,b158d156,119,72ea9975,5.0,2be9562c
019cfc62-962,SCH6,29d4ec43,120,72ea9975,2.0,4b264c62
019cfc62-962,SCH6,675cb22d,114,72ea9975,3.0,4f233fa9
019cfc62-962,SCH6,e8a24ac9,115,72ea9975,3.0,5d058731
019cfc62-962,SCH6,ea13f02c,118,72ea9975,4.0,62f6b268
019cfc62-962,SCH6,f70c4191,117,72ea9975,4.0,780ef470
019cfc62-962,SCH6,783d3daf,116,72ea9975,2.0,7fec3088
019cfc62-962,SCH6,3a061b4e,113,72ea9975,1.0,c61f233c
01a0b4d1-79b,SCH8,18fc9691,121,0f00f121,2.0,383f7195
01a0b4d1-79b,SCH8,895ff2ff,125,0f00f121,2.0,4b2291c5
01a0b4d1-79b,SCH8,b59d1268,126,0f00f121,1.0,6393ae8b
01a0b4d1-79b,SCH8,56995c4f,124,0f00f121,2.0,828df887
01a0b4d1-79b,SCH8,39f4767c,127,0f00f121,2.0,96924098
01a0b4d1-79b,SCH8,5664391d,122,0f00f121,3.0,b86cbdec
01a0b4d1-79b,SCH8,161f804d,123,0f00f121,3.0,e5007fea
01a0b4d1-79b,SCH8,b36558d4,128,0f00f121,4.0,ef7b0c02
01ab75f8-504,SCH1,c1231b1c,134,64b0a4d4,5.0,036960ac
01ab75f8-504,SCH1,3fe6e9e2,133,64b0a4d4,1.0,06332297
01ab75f8-504,SCH1,9943ca4c,130,64b0a4d4,4.0,2c63ee38
01ab75f8-504,SCH1,f8b6a591,129,64b0a4d4,4.0,2f952a3e
01ab75f8-504,SCH1,21601a54,132,64b0a4d4,1.0,5a7ff841
01ab75f8-504,SCH1,86379742,131,64b0a4d4,1.0,97c1c726
01cc47ac-658,SCH1,5e92449e,137,a5364a78,2.0,6e14a7ce
01cc47ac-658,SCH1,b7728e92,135,a5364a78,1.0,9d653487
01cc47ac-658,SCH1,6992bdcd,138,a5364a78,1.0,ae949298
01cc47ac-658,SCH1,efc74d80,140,a5364a78,1.0,afda56c1
01cc47ac-658,SCH1,ceccd68b,136,a5364a78,1.0,e6b430b3
01cc47ac-658,SCH1,2753acb8,139,a5364a78,5.0,e8e1375a
01da4f0d-44e,SCH3,59585b14,141,947a7dd8,1.0,410a1491
01da4f0d-44e,SCH3,c4ce4037,142,947a7dd8,3.0,732e866f
020de71c-5f0,SCH2,50a3a0c9,152,0563d663,1.0,0059dc58
020de71c-5f0,SCH2,0bf11512,147,0563d663,1.0,041da110
020de71c-5f0,SCH2,065d3ea7,149,0563d663,1.0,23f33965
020de71c-5f0,SCH2,17d63884,145,0563d663,3.0,24c752c2
020de71c-5f0,SCH2,fcc2a29d,150,0563d663,1.0,4e2aec91
020de71c-5f0,SCH2,d9539856,151,0563d663,4.0,58c2ca38
020de71c-5f0,SCH2,3642522e,146,0563d663,1.0,7bf2bed2
020de71c-5f0,SCH2,7e0b1d31,143,0563d663,2.0,9d709136
020de71c-5f0,SCH2,6a73ef8a,148,0563d663,1.0,9dfee876
020de71c-5f0,SCH2,cc20ba6d,144,0563d663,1.0,9e0b677a
0228116d-6b3,SCH6,ee049ec8,157,708be33b,2.0,2edbe050
0228116d-6b3,SCH6,6fdea5f6,153,708be33b,3.0,3b3f5f4f
0228116d-6b3,SCH6,e2d3ccab,158,708be33b,3.0,60bf5cb9
0228116d-6b3,SCH6,465bd759,155,708be33b,1.0,8d4bcf84
0228116d-6b3,SCH6,1944b559,159,708be33b,1.0,9221129e
0228116d-6b3,SCH6,5ec9b29d,156,708be33b,2.0,ac0732a3
0228116d-6b3,SCH6,30c2c704,160,708be33b,3.0,e0314347
0228116d-6b3,SCH6,5258b3e9,154,708be33b,2.0,fe519ef8
0239b80f-bcc,SCH2,7836ec69,162,9ce515d5,1.0,7d70656b
0239b80f-bcc,SCH2,52614a80,163,9ce515d5,1.0,84dfa320
0239b80f-bcc,SCH2,e043e023,161,9ce515d5,1.0,eb04a0e3
026164da-0dc,SCH2,136ba0d0,165,b7090b0a,5.0,0b919a5e
026164da-0dc,SCH2,8f00fdd2,170,b7090b0a,5.0,397f1db4
026164da-0dc,SCH2,5ffe149a,169,b7090b0a,5.0,6d5c3713
026164da-0dc,SCH2,b0f1a96f,167,b7090b0a,3.0,9dc5d66f
026164da-0dc,SCH2,10498b97,166,b7090b0a,2.0,9e954914
026164da-0dc,SCH2,0fe14a60,171,b7090b0a,2.0,a8f1c205
026164da-0dc,SCH2,a30ac26f,164,b7090b0a,3.0,e43a93f4
026164da-0dc,SCH2,eb9910f7,168,b7090b0a,1.0,fa3031d1
0261dc1e-1d8,SCH4,18d40069,174,d48624af,3.0,11fab901
0261dc1e-1d8,SCH4,dc54e9bf,173,d48624af,2.0,1ec8582d
0261dc1e-1d8,SCH4,5899ab95,172,d48624af,2.0,2515670c
027d46c2-4ac,SCH7,7c9afec2,175,e735c69e,6.0,2304e3c2
027d46c2-4ac,SCH7,48a68bd0,176,e735c69e,1.0,6b6e57c7
027d46c2-4ac,SCH7,9211b800,177,e735c69e,1.0,b689403f
02a43603-c14,SCH5,3e907e40,182,3884df4d,1.0,39f3dba9
02a43603-c14,SCH5,22f40511,180,3884df4d,2.0,85177bd9
02a43603-c14,SCH5,59ed8ded,178,3884df4d,1.0,91a331b7
02a43603-c14,SCH5,cc8a25a1,181,3884df4d,5.0,c311e666
02a43603-c14,SCH5,85d3e9cb,183,3884df4d,8.0,cfca124a
02a43603-c14,SCH5,fb6be124,179,3884df4d,1.0,da933000
02c63205-76f,SCH7,dde74b77,184,5c940f4a,9.0,3c7976da
02e79cdb-4e4,SCH6,7e68c847,189,aa4d52df,1.0,31732f0a
02e79cdb-4e4,SCH6,0014c381,188,aa4d52df,1.0,4a2cbc9e
02e79cdb-4e4,SCH6,d07b6eae,185,aa4d52df,3.0,5ad7c9e0
02e79cdb-4e4,SCH6,c097105d,187,aa4d52df,1.0,5fa00c3e
02e79cdb-4e4,SCH6,b3668831,186,aa4d52df,2.0,effaefbc
03021c5d-eb5,SCH3,5b4a352a,191,54f270d8,2.0,1b994a46
03021c5d-eb5,SCH3,71df74bb,192,54f270d8,7.0,3ec3c4fb
03021c5d-eb5,SCH3,f8d081de,193,54f270d8,2.0,793aad38
03021c5d-eb5,SCH3,0e5e633f,190,54f270d8,6.0,97ddd4c0
03021c5d-eb5,SCH3,1d69668a,195,54f270d8,4.0,bcb524e2
03021c5d-eb5,SCH3,5ba51245,194,54f270d8,1.0,d97bdba2
0312d388-a0a,SCH3,f02bd7cf,199,3e43b60f,1.0,07ce1ab9
0312d388-a0a,SCH3,d3202ecf,196,3e43b60f,1.0,39483ac0
0312d388-a0a,SCH3,5487f8a2,200,3e43b60f,2.0,67a331ea
0312d388-a0a,SCH3,11bbaf71,197,3e43b60f,3.0,7ffc3970
0312d388-a0a,SCH3,2b8df70a,198,3e43b60f,1.0,f90626b5
031d062d-c54,SCH7,75cbcfc1,202,ba382e9e,2.0,61e3b106
031d062d-c54,SCH7,2ced60ce,204,ba382e9e,2.0,82062e39
031d062d-c54,SCH7,2548e751,203,ba382e9e,1.0,a39652e2
031d062d-c54,SCH7,51e64d0c,205,ba382e9e,1.0,b53c90ec
031d062d-c54,SCH7,d9561b46,201,ba382e9e,1.0,b6ee2576
031d062d-c54,SCH7,0c4a3f05,206,ba382e9e,1.0,ebf218c8
032412b4-f07,SCH8,6a9adccc,208,4ebe93a9,2.0,ac9b0e7c
032412b4-f07,SCH8,60fc945e,207,4ebe93a9,2.0,fb5eacc9
0328b124-b96,SCH3,9ee8dfb5,209,8bcc359a,1.0,340517b5
0328b124-b96,SCH3,8417453b,212,8bcc359a,4.0,8ed9a166
0328b124-b96,SCH3,060644b2,210,8bcc359a,1.0,be5ac919
0328b124-b96,SCH3,1aadb3cb,211,8bcc359a,2.0,e4fad1b4
033ccabe-2a5,SCH3,668e94c6,213,741fd5ac,2.0,3bd15653
033ccabe-2a5,SCH3,c067bbe5,214,741fd5ac,1.0,74b48efd
033ccabe-2a5,SCH3,f9760216,215,741fd5ac,1.0,d18e2cfe
