pupilonrolltableid,NativeId,termlyexclusionsonrolltableid,termlyexclusionsonrollorderseqcolumn,sourceid,startdate,sessions,reason1,reason2,reason3,category,senprovision
0002e817-8ca,SCH7,e8a25ee1,1,f50bf7cf,2025-Feb-14 00:00:00,10.0,DB,PA,,PERM,E
0002e817-8ca,SCH7,2e92a078,2,f50bf7cf,2025-Mar-02 00:00:00,10.0,DM,OT,,PERM,E
0002e817-8ca,SCH7,ddb96406,3,f50bf7cf,2025-Jan-29 00:00:00,10.0,PA,,,LNCH,E
0002e817-8ca,SCH7,7500f48d,4,f50bf7cf,2025-Mar-07 00:00:00,10.0,RA,,,FIXD,E
0002e817-8ca,SCH7,8acc89b7,5,f50bf7cf,2025-Feb-14 00:00:00,10.0,VA,,,FIXD,E
0002e817-8ca,SCH7,94602f05,6,f50bf7cf,2025-Mar-30 00:00:00,10.0,PP,VP,,LNCH,E
0002e817-8ca,SCH7,65733d17,7,f50bf7cf,2025-Feb-24 00:00:00,10.0,VP,,,PERM,E
0002e817-8ca,SCH7,706520d7,8,f50bf7cf,2025-Jan-26 00:00:00,10.0,RA,,,LNCH,E
0002e817-8ca,SCH7,f6b43d35,9,f50bf7cf,2025-Jan-08 00:00:00,10.0,PA,,,LNCH,E
002c252a-dd6,SCH8,10b17e6d,10,f8daba2b,2025-Jan-18 00:00:00,10.0,PA,PP,,LNCH,S
002c252a-dd6,SCH8,ec04dad8,11,f8daba2b,2025-Feb-03 00:00:00,10.0,SM,,,FIXD,S
002c252a-dd6,SCH8,e6a1cd27,12,f8daba2b,2025-Jan-19 00:00:00,10.0,PP,VP,,FIXD,S
002c252a-dd6,SCH8,9a38d0e3,13,f8daba2b,2025-Apr-06 00:00:00,10.0,VA,,,PERM,S
002c252a-dd6,SCH8,641385e2,14,f8daba2b,2025-Mar-22 00:00:00,10.0,BU,VP,,PERM,S
002c252a-dd6,SCH8,9c62f15b,15,f8daba2b,2025-Mar-09 00:00:00,10.0,RA,OT,,FIXD,S
002c252a-dd6,SCH8,3f55c4d0,16,f8daba2b,2025-Apr-08 00:00:00,10.0,VP,,,LNCH,S
0068613a-fcf,SCH7,82aea85e,17,3d5ac3f1,2025-Jan-15 00:00:00,10.0,SM,,,FIXD,
0068613a-fcf,SCH7,9b19565c,18,3d5ac3f1,2025-Apr-04 00:00:00,10.0,RA,,,PERM,
0068613a-fcf,SCH7,8e898771,19,3d5ac3f1,2025-Mar-05 00:00:00,10.0,SM,,,PERM,
0068613a-fcf,SCH7,9df599d8,20,3d5ac3f1,2025-Feb-25 00:00:00,10.0,PA,,,FIXD,
0068613a-fcf,SCH7,f6a3d32f,21,3d5ac3f1,2025-Feb-21 00:00:00,10.0,PA,,DM,LNCH,
0068613a-fcf,SCH7,ccde3f92,22,3d5ac3f1,2025-Feb-02 00:00:00,10.0,SM,RA,,PERM,
00da3cc7-b28,SCH1,0d2d03bd,23,07aedf22,2025-Apr-02 00:00:00,10.0,TH,SM,,LNCH,E
00da3cc7-b28,SCH1,d964f129,24,07aedf22,2025-Mar-12 00:00:00,10.0,TH,,,FIXD,E
016343eb-e88,SCH7,a09a4386,25,8e1b20a8,2025-Mar-06 00:00:00,10.0,VP,DM,,LNCH,
016343eb-e88,SCH7,085a82b0,26,8e1b20a8,2025-Feb-04 00:00:00,10.0,TH,SM,,FIXD,
016343eb-e88,SCH7,02421d2b,27,8e1b20a8,2025-Feb-26 00:00:00,10.0,VP,DB,,FIXD,
016343eb-e88,SCH7,9dd1a59f,28,8e1b20a8,2025-Apr-05 00:00:00,10.0,SM,,,FIXD,
016343eb-e88,SCH7,6761cfc2,29,8e1b20a8,2025-Jan-17 00:00:00,10.0,VP,VP,DM,PERM,
016343eb-e88,SCH7,3fd0f2f1,30,8e1b20a8,2025-Feb-24 00:00:00,10.0,TH,,,LNCH,
016343eb-e88,SCH7,8b83f099,31,8e1b20a8,2025-Mar-21 00:00:00,10.0,DA,,,FIXD,
01645986-534,SCH8,7c9c6c62,32,c30435b5,2025-Jan-24 00:00:00,10.0,VP,SM,,PERM,
01645986-534,SCH8,f6897a02,33,c30435b5,2025-Feb-01 00:00:00,10.0,PP,,,PERM,
01645986-534,SCH8,f8e079f9,34,c30435b5,2025-Mar-10 00:00:00,10.0,PA,,,PERM,
01645986-534,SCH8,fe509b23,35,c30435b5,2025-Apr-07 00:00:00,10.0,PA,,,FIXD,
01645986-534,SCH8,8c097ca7,36,c30435b5,2025-Jan-22 00:00:00,10.0,RA,,,PERM,
01645986-534,SCH8,8e3e3f0a,37,c30435b5,2025-Jan-17 00:00:00,10.0,BU,,,PERM,
01645986-534,SCH8,16fc436d,38,c30435b5,2025-Feb-08 00:00:00,10.0,PA,,,FIXD,
01aa8772-70d,SCH2,d9e6a91e,39,7d6be345,2025-Jan-31 00:00:00,10.0,SM,,,LNCH,P
01aa8772-70d,SCH2,bc6bf878,40,7d6be345,2025-Mar-22 00:00:00,10.0,DM,,,FIXD,P
01aa8772-70d,SCH2,6420b08c,41,7d6be345,2025-Mar-06 00:00:00,10.0,SM,DM,,PERM,P
01aa8772-70d,SCH2,1528ca9c,42,7d6be345,2025-Jan-21 00:00:00,10.0,SM,,,LNCH,P
02149e28-3dc,SCH5,fa54564e,43,49ed406b,2025-Mar-05 00:00:00,10.0,VP,,,PERM,A
022173c1-4fe,SCH2,aedb202a,44,af92bc86,2025-Mar-28 00:00:00,10.0,PA,,,FIXD,K
022173c1-4fe,SCH2,a3a91389,45,af92bc86,2025-Feb-23 00:00:00,10.0,OT,,,FIXD,K
022173c1-4fe,SCH2,5306f54e,46,af92bc86,2025-Feb-15 00:00:00,10.0,BU,VP,,FIXD,K
022173c1-4fe,SCH2,40188fac,47,af92bc86,2025-Apr-01 00:00:00,10.0,DM,,,PERM,K
022173c1-4fe,SCH2,efe05e21,48,af92bc86,2025-Feb-07 00:00:00,10.0,TH,,,PERM,K
022173c1-4fe,SCH2,40e544c4,49,af92bc86,2025-Mar-17 00:00:00,10.0,VP,PP,,FIXD,K
023864e0-886,SCH5,88deaf8c,50,dc0e24f7,2025-Mar-17 00:00:00,10.0,PA,VP,,PERM,N
023864e0-886,SCH5,9b9fcadb,51,dc0e24f7,2025-Mar-25 00:00:00,10.0,VA,,,FIXD,N
029cbebb-721,SCH3,660a5e22,52,c6e2058a,2025-Mar-20 00:00:00,10.0,PP,BU,,PERM,E
029cbebb-721,SCH3,b1bdcc07,53,c6e2058a,2025-Feb-07 00:00:00,10.0,PP,,,PERM,E
029cbebb-721,SCH3,3f37cc9c,54,c6e2058a,2025-Mar-23 00:00:00,10.0,SM,,,LNCH,E
029cbebb-721,SCH3,4f2dacf4,55,c6e2058a,2025-Mar-21 00:00:00,10.0,VA,,,FIXD,E
029cbebb-721,SCH3,5d7bb62b,56,c6e2058a,2025-Mar-14 00:00:00,10.0,DA,,,LNCH,E
029cbebb-721,SCH3,60d99f64,57,c6e2058a,2025-Mar-10 00:00:00,10.0,PP,,,LNCH,E
02af3d49-289,SCH2,8c479e0c,58,d08bd0a7,2025-Jan-09 00:00:00,10.0,TH,VA,,FIXD,S
02af3d49-289,SCH2,7d44a80c,59,d08bd0a7,2025-Mar-03 00:00:00,10.0,PP,,,PERM,S
02af3d49-289,SCH2,f578e4c0,60,d08bd0a7,2025-Feb-22 00:00:00,10.0,BU,,,PERM,S
02af3d49-289,SCH2,72a45bb4,61,d08bd0a7,2025-Feb-08 00:00:00,10.0,PP,VA,,FIXD,S
02af3d49-289,SCH2,fbd1f19f,62,d08bd0a7,2025-Mar-24 00:00:00,10.0,DA,,,FIXD,S
