pupilonrolltableid,NativeId,termlysessiondetailsonrolltableid,termlysessiondetailsonrollorderseqcolumn,sourceid,sessions,attendancereason
0002e817-8ca,SCH7,6d694e9f,7,f50bf7cf,135.0,#
0002e817-8ca,SCH7,2455c930,1,f50bf7cf,128.0,E
0002e817-8ca,SCH7,0ab0a0aa,5,f50bf7cf,124.0,G
0002e817-8ca,SCH7,f7da513c,4,f50bf7cf,137.0,I
0002e817-8ca,SCH7,42e79e14,2,f50bf7cf,137.0,N
0002e817-8ca,SCH7,f413e0f7,8,f50bf7cf,132.0,U
001cd0b1-3d1,SCH5,91f6db5b,11,b7b60766,142.0,N
001cd0b1-3d1,SCH5,25e06192,9,b7b60766,137.0,U
001cd0b1-3d1,SCH5,f17a71da,10,b7b60766,126.0,Y
001e7b6b-4f5,SCH4,5259ffbd,14,55b2d75a,130.0,I
001e7b6b-4f5,SCH4,2e6e05f9,13,55b2d75a,139.0,U
002c252a-dd6,SCH8,5fd3d723,15,f8daba2b,131.0,G
002c252a-dd6,SCH8,1dbd543a,16,f8daba2b,127.0,O
00389221-b4e,SCH6,69ec66c8,18,4f1ea830,135.0,C
00389221-b4e,SCH6,c4c243a0,20,4f1ea830,132.0,G
00389221-b4e,SCH6,68f06410,17,4f1ea830,125.0,I
00389221-b4e,SCH6,3d02a9ad,19,4f1ea830,130.0,N
00389221-b4e,SCH6,bacdfb01,24,4f1ea830,135.0,S
00389221-b4e,SCH6,37096db0,22,4f1ea830,128.0,X
003aa1bb-f6b,SCH2,f86557f5,29,7ea05b11,128.0,C
003aa1bb-f6b,SCH2,1a9c8f2e,26,7ea05b11,129.0,G
003aa1bb-f6b,SCH2,3db1f7d1,27,7ea05b11,129.0,N
003aa1bb-f6b,SCH2,1d79dcff,28,7ea05b11,137.0,Y
004fcd28-df6,SCH1,9fa8b317,31,d7877e3d,130.0,G
004fcd28-df6,SCH1,82d509ef,32,d7877e3d,130.0,I
004fcd28-df6,SCH1,620c8652,33,d7877e3d,134.0,M
004fcd28-df6,SCH1,516c1950,35,d7877e3d,123.0,N
004fcd28-df6,SCH1,84a5c185,30,d7877e3d,137.0,X
0058974f-905,SCH4,d97a759c,41,453a56f4,121.0,E
0058974f-905,SCH4,48663194,39,453a56f4,125.0,G
0058974f-905,SCH4,3d7c4be7,43,453a56f4,127.0,H
0058974f-905,SCH4,39e9db96,37,453a56f4,126.0,I
0058974f-905,SCH4,28854319,40,453a56f4,138.0,X
0058974f-905,SCH4,a8944976,38,453a56f4,126.0,Y
0068613a-fcf,SCH7,65ec4399,45,3d5ac3f1,126.0,M
006a8cdc-33d,SCH5,7cbf4d53,47,88889b4a,124.0,G
006a8cdc-33d,SCH5,ac4f834c,49,88889b4a,133.0,H
006a8cdc-33d,SCH5,e0bf1bb5,46,88889b4a,130.0,I
006a8cdc-33d,SCH5,e646e438,50,88889b4a,137.0,R
006a8cdc-33d,SCH5,bc6ff71e,53,88889b4a,130.0,T
006a8cdc-33d,SCH5,e96cfa6d,48,88889b4a,123.0,X
006db8dd-913,SCH5,7f742d64,56,96ae87b0,130.0,C
006db8dd-913,SCH5,ce9fc873,55,96ae87b0,129.0,G
006db8dd-913,SCH5,3cc982fb,54,96ae87b0,134.0,I
00737891-2c8,SCH3,1884e109,64,76673d5c,127.0,#
00737891-2c8,SCH3,5b770e9a,58,76673d5c,125.0,H
00737891-2c8,SCH3,da02850e,59,76673d5c,136.0,N
00737891-2c8,SCH3,dfac5517,62,76673d5c,132.0,R
00737891-2c8,SCH3,051581bd,61,76673d5c,127.0,S
007a60d5-079,SCH1,56b3f2e9,68,b48148c8,122.0,C
007a60d5-079,SCH1,aae0917e,66,b48148c8,125.0,E
007a60d5-079,SCH1,5c711746,67,b48148c8,125.0,N
007a60d5-079,SCH1,77d14a57,71,b48148c8,135.0,O
007a60d5-079,SCH1,dce4240c,69,b48148c8,134.0,S
007a7429-53f,SCH1,c1f5845d,77,83bb1b2f,126.0,E
007a7429-53f,SCH1,2951f435,76,83bb1b2f,123.0,G
007a7429-53f,SCH1,42f6ccea,80,83bb1b2f,131.0,N
007a7429-53f,SCH1,75e7f9a0,81,83bb1b2f,127.0,O
007a7429-53f,SCH1,98872a7b,75,83bb1b2f,137.0,R
007a7429-53f,SCH1,fc8fe877,78,83bb1b2f,,Y
007ce401-b14,SCH1,4210677c,86,e79e1ac4,134.0,C
007ce401-b14,SCH1,6cd42b00,82,e79e1ac4,142.0,E
007ce401-b14,SCH1,bf09c3f8,85,e79e1ac4,130.0,G
007ce401-b14,SCH1,8191dc23,84,e79e1ac4,137.0,H
007ce401-b14,SCH1,ed294dc3,83,e79e1ac4,132.0,I
007ce401-b14,SCH1,59aaecb0,87,e79e1ac4,133.0,M
0080a909-ddc,SCH2,e8d8d387,88,512a92d4,129.0,G
0080a909-ddc,SCH2,c517feb8,89,512a92d4,133.0,M
0080a909-ddc,SCH2,e3e5ea9c,90,512a92d4,124.0,N
0080a909-ddc,SCH2,3d6c2cab,91,512a92d4,146.0,O
00861282-259,SCH6,1c5a648d,94,8d6938fb,135.0,H
00861282-259,SCH6,cd21c5d1,93,8d6938fb,130.0,T
008e6441-aa0,SCH8,156798ee,101,32c3678d,140.0,E
008e6441-aa0,SCH8,ea3a280e,96,32c3678d,129.0,G
008e6441-aa0,SCH8,a1c51a50,95,32c3678d,136.0,I
008e6441-aa0,SCH8,da638dd2,97,32c3678d,129.0,N
008e6441-aa0,SCH8,4709e91d,98,32c3678d,124.0,O
008e6441-aa0,SCH8,fb6fd9c5,99,32c3678d,136.0,S
008e6441-aa0,SCH8,9fadf37d,100,32c3678d,136.0,U
0096e98c-b69,SCH5,773b46a4,102,17699100,120.0,C
0096e98c-b69,SCH5,001aa00a,103,17699100,126.0,M
00a2895e-7c0,SCH5,457688eb,110,87784ce6,128.0,E
00a2895e-7c0,SCH5,5706c5e7,109,87784ce6,126.0,G
00a2895e-7c0,SCH5,9ac2f7ae,112,87784ce6,128.0,H
00a2895e-7c0,SCH5,f6537ebc,104,87784ce6,130.0,I
00a2895e-7c0,SCH5,a541d276,111,87784ce6,132.0,N
00a2895e-7c0,SCH5,18147daa,105,87784ce6,129.0,R
00a2895e-7c0,SCH5,c343a5ab,108,87784ce6,136.0,T
00b47c69-f0d,SCH1,cdc25ac9,115,7c40ebc2,126.0,C
00b47c69-f0d,SCH1,561dc3af,114,7c40ebc2,136.0,H
00b47c69-f0d,SCH1,68460bd8,116,7c40ebc2,131.0,I
00b47c69-f0d,SCH1,59c56a5d,118,7c40ebc2,126.0,R
00c46b1f-986,SCH7,aa9ded03,122,93fc92fd,126.0,E
00c46b1f-986,SCH7,de073e9d,126,93fc92fd,128.0,H
00c46b1f-986,SCH7,58b3de6d,119,93fc92fd,129.0,I
00c46b1f-986,SCH7,42bb0ebb,121,93fc92fd,133.0,M
00c57c03-6d2,SCH3,bcf7092e,128,fd03cfee,135.0,U
00d48d88-6ca,SCH3,2a7ac677,130,58a9c51d,142.0,C
00d48d88-6ca,SCH3,903cd8cf,129,58a9c51d,128.0,I
00d575a7-dc8,SCH7,afe86fda,132,11c20ce5,121.0,E
00d575a7-dc8,SCH7,95192ffc,133,11c20ce5,130.0,I
00d575a7-dc8,SCH7,bcc14667,131,11c20ce5,137.0,T
00da3cc7-b28,SCH1,bd1f0eb9,136,07aedf22,131.0,I
00da3cc7-b28,SCH1,4b1f514e,137,07aedf22,124.0,N
00da3cc7-b28,SCH1,c77d2b02,134,07aedf22,120.0,O
00e2f966-e88,SCH7,40a60349,138,11236585,129.0,E
00e2f966-e88,SCH7,4281b690,140,11236585,125.0,G
00e2f966-e88,SCH7,ce466da9,139,11236585,127.0,H
00e2f966-e88,SCH7,9fe23dd2,143,11236585,123.0,I
00e2f966-e88,SCH7,89517b59,142,11236585,130.0,Z
00e3e3c1-738,SCH3,c1bb6683,149,3ad200dd,125.0,#
00e3e3c1-738,SCH3,8b362d2f,148,3ad200dd,123.0,E
00e3e3c1-738,SCH3,f3f6a36e,146,3ad200dd,131.0,H
00e3e3c1-738,SCH3,e16ed87e,145,3ad200dd,133.0,I
00e3e3c1-738,SCH3,67ec126f,144,3ad200dd,130.0,N
00e70ba4-b03,SCH3,d18fbb6f,151,7c59ac96,133.0,C
00e70ba4-b03,SCH3,0f5f2407,152,7c59ac96,136.0,G
00e70ba4-b03,SCH3,fddd1232,153,7c59ac96,120.0,I
00e70ba4-b03,SCH3,64b3fa07,154,7c59ac96,122.0,N
00e70ba4-b03,SCH3,4b71450d,156,7c59ac96,137.0,Y
00e70ba4-b03,SCH3,044d70b5,157,7c59ac96,131.0,Z
00e9397d-27e,SCH2,6975c67b,160,32444148,133.0,C
00e9397d-27e,SCH2,d37ebd02,161,32444148,129.0,H
00e9397d-27e,SCH2,c85fe679,158,32444148,127.0,I
00e9397d-27e,SCH2,02c61ded,162,32444148,127.0,M
00e9397d-27e,SCH2,8658fca9,159,32444148,123.0,N
00e9397d-27e,SCH2,530f035c,164,32444148,123.0,U
00ecef55-ae2,SCH1,9ddfc1e5,167,83a2ab58,124.0,H
00ecef55-ae2,SCH1,58389ffc,165,83a2ab58,137.0,O
00f6b660-59e,SCH2,72990846,168,d2773da4,126.0,#
00f6b660-59e,SCH2,f34a9cf3,177,d2773da4,126.0,C
00f6b660-59e,SCH2,dd5160f6,171,d2773da4,134.0,E
00f6b660-59e,SCH2,282ebb2f,170,d2773da4,132.0,G
00f6b660-59e,SCH2,d9d7e062,174,d2773da4,132.0,I
00f6b660-59e,SCH2,6f712576,173,d2773da4,129.0,O
00f6b660-59e,SCH2,b9701100,176,d2773da4,131.0,R
00f6b660-59e,SCH2,9aba3038,175,d2773da4,135.0,S
00f6b660-59e,SCH2,ee7f817f,169,d2773da4,127.0,U
01080e0c-45b,SCH6,e29fa0c1,178,1f420180,135.0,C
01080e0c-45b,SCH6,b012fe53,182,1f420180,131.0,G
01080e0c-45b,SCH6,0fa5000e,181,1f420180,134.0,H
01080e0c-45b,SCH6,ee336b28,183,1f420180,129.0,I
01080e0c-45b,SCH6,fcc99118,180,1f420180,133.0,O
01080e0c-45b,SCH6,a90e2b69,179,1f420180,141.0,U
010aa4cb-931,SCH2,0a976268,190,9586e190,121.0,G
010aa4cb-931,SCH2,da51bead,189,9586e190,126.0,H
010aa4cb-931,SCH2,b667fdbb,186,9586e190,136.0,I
010aa4cb-931,SCH2,e6652a93,193,9586e190,131.0,N
010aa4cb-931,SCH2,d81ab7e2,191,9586e190,127.0,O
010aa4cb-931,SCH2,3d30496d,188,9586e190,128.0,S
010d4a31-384,SCH1,743d8222,195,96d7b311,120.0,E
010d4a31-384,SCH1,5f0d79ab,199,96d7b311,132.0,G
010d4a31-384,SCH1,ccb9c678,197,96d7b311,,I
010d4a31-384,SCH1,7ce0ee67,198,96d7b311,131.0,M
010d4a31-384,SCH1,70c4a7c8,196,96d7b311,132.0,N
011c54a5-f16,SCH4,de14e63e,206,dc17bdc3,134.0,N
011c54a5-f16,SCH4,1a8ea18f,204,dc17bdc3,127.0,R
011c54a5-f16,SCH4,b5bf1832,205,dc17bdc3,134.0,S
012d9587-01b,SCH2,53bb24fa,207,da0f8ce5,129.0,H
012d9587-01b,SCH2,1eb567bb,209,da0f8ce5,132.0,I
0134a3c5-4bc,SCH5,87be38d6,213,8aef8a1b,127.0,E
0134a3c5-4bc,SCH5,5fc5edbe,211,8aef8a1b,130.0,G
0134a3c5-4bc,SCH5,deb99507,210,8aef8a1b,128.0,H
