pupilonrolltableid,NativeId,fsmperiodtableid,fsmperiodorderseqcolumn,sourceid,fsmstartdate,fsmenddate,ukcountry
001cd0b1-3d1,SCH5,c9b272d2,1,89abc551,2025-Jul-05 00:00:00,,ENG
001cd0b1-3d1,SCH5,ad522e1b,2,89abc551,2025-May-05 00:00:00,,SCT
001cd0b1-3d1,SCH5,a579dd46,3,89abc551,2025-May-12 00:00:00,2025-Jul-03 00:00:00,ENG
002c252a-dd6,SCH8,de52ae6b,4,b2d81f1e,2025-May-15 00:00:00,2025-Jun-28 00:00:00,WLS
002c252a-dd6,SCH8,9bb7b634,5,b2d81f1e,2025-May-11 00:00:00,2025-May-07 00:00:00,SCT
002c252a-dd6,SCH8,07550356,6,b2d81f1e,2025-Jun-11 00:00:00,,ENG
002c252a-dd6,SCH8,a33ad7af,7,b2d81f1e,2025-Jun-10 00:00:00,2025-May-07 00:00:00,ENG
002c252a-dd6,SCH8,f1d41a74,8,b2d81f1e,2025-Jun-25 00:00:00,2025-May-22 00:00:00,
002c252a-dd6,SCH8,9b787026,9,b2d81f1e,2025-Jun-14 00:00:00,,NIR
004fcd28-df6,SCH1,28c14e92,10,434d3c5d,2025-May-30 00:00:00,,ENG
004fcd28-df6,SCH1,6df9cf7f,11,434d3c5d,2025-Jun-16 00:00:00,2025-May-27 00:00:00,ENG
004fcd28-df6,SCH1,d5def28f,12,434d3c5d,2025-Jul-05 00:00:00,2025-Jun-28 00:00:00,
0068613a-fcf,SCH7,e0f5c258,13,e10a05d3,2025-Jun-21 00:00:00,,ENG
0068613a-fcf,SCH7,f5c65295,14,e10a05d3,2025-Jul-13 00:00:00,2025-Jun-19 00:00:00,SCT
0068613a-fcf,SCH7,90062c4f,15,e10a05d3,2025-May-25 00:00:00,2025-Jul-14 00:00:00,ENG
006a8cdc-33d,SCH5,31338a3a,16,5bba2162,2025-May-24 00:00:00,2025-Jul-05 00:00:00,
006db8dd-913,SCH5,8bc9e050,17,0f9919ca,2025-May-09 00:00:00,,ENG
006db8dd-913,SCH5,08625aa3,18,0f9919ca,2025-Jun-24 00:00:00,,WLS
006db8dd-913,SCH5,bb5b4053,19,0f9919ca,2025-Apr-27 00:00:00,,ENG
006db8dd-913,SCH5,ec1846ed,20,0f9919ca,2025-May-13 00:00:00,2025-May-04 00:00:00,ENG
006db8dd-913,SCH5,4a0c9c2f,21,0f9919ca,2025-Jun-15 00:00:00,,SCT
006db8dd-913,SCH5,0b0f81eb,22,0f9919ca,2025-May-01 00:00:00,,SCT
0096e98c-b69,SCH5,a9e9b13a,23,a86a61a9,2025-May-23 00:00:00,,SCT
0096e98c-b69,SCH5,8ffdb2b0,24,a86a61a9,2025-May-03 00:00:00,,ENG
0096e98c-b69,SCH5,da34cc4d,25,a86a61a9,2025-Jun-30 00:00:00,,ENG
0096e98c-b69,SCH5,49929f48,26,a86a61a9,2025-Jun-29 00:00:00,2025-Jun-27 00:00:00,ENG
0096e98c-b69,SCH5,9f5c4679,27,a86a61a9,2025-May-03 00:00:00,2025-Jul-08 00:00:00,ENG
0096e98c-b69,SCH5,1a4ae7d8,28,a86a61a9,2025-May-07 00:00:00,2025-Jun-16 00:00:00,ENG
0096e98c-b69,SCH5,fa538ac0,29,a86a61a9,2025-May-08 00:00:00,2025-Jun-02 00:00:00,
0096e98c-b69,SCH5,6ab9a5c3,30,a86a61a9,2025-May-31 00:00:00,2025-Jun-23 00:00:00,ENG
0096e98c-b69,SCH5,aac4c5e2,31,a86a61a9,2025-Jul-10 00:00:00,,SCT
00b47c69-f0d,SCH1,8ebde319,32,3fd81d43,2025-Jul-09 00:00:00,,ENG
00b47c69-f0d,SCH1,04f196f2,33,3fd81d43,2025-May-05 00:00:00,2025-Apr-26 00:00:00,ENG
00b47c69-f0d,SCH1,dc1c53a1,34,3fd81d43,2025-Jun-15 00:00:00,,SCT
00b47c69-f0d,SCH1,f555b09d,35,3fd81d43,2025-Jun-26 00:00:00,2025-May-27 00:00:00,SCT
00b47c69-f0d,SCH1,a225a4f9,36,3fd81d43,2025-Jul-11 00:00:00,2025-Jun-26 00:00:00,ENG
00b47c69-f0d,SCH1,323b5855,37,3fd81d43,2025-Jun-24 00:00:00,,ENG
00b47c69-f0d,SCH1,ca6ce180,38,3fd81d43,2025-Jun-04 00:00:00,,ENG
00c46b1f-986,SCH7,ca135122,39,ef4d33d5,2025-Apr-29 00:00:00,2025-Jun-16 00:00:00,ENG
00c46b1f-986,SCH7,e24eddba,40,ef4d33d5,2025-Jul-03 00:00:00,,SCT
00c46b1f-986,SCH7,8450deaf,41,ef4d33d5,2025-Jul-13 00:00:00,,ENG
00c57c03-6d2,SCH3,182b0288,42,6f50637a,2025-Jun-16 00:00:00,2025-May-03 00:00:00,
00c57c03-6d2,SCH3,8128918e,43,6f50637a,2025-Apr-22 00:00:00,,ENG
00c57c03-6d2,SCH3,aef3f32d,44,6f50637a,2025-Jul-01 00:00:00,,ENG
00c57c03-6d2,SCH3,321d22b2,45,6f50637a,2025-Jul-06 00:00:00,,ENG
00c57c03-6d2,SCH3,80f5fb6a,46,6f50637a,2025-May-17 00:00:00,,SCT
00c57c03-6d2,SCH3,c1e424ad,47,6f50637a,2025-Jul-02 00:00:00,,ENG
00da3cc7-b28,SCH1,d182cf86,48,8bdea253,2025-Apr-24 00:00:00,,ENG
00e70ba4-b03,SCH3,ba2a7b00,49,cefa2a3e,2025-May-07 00:00:00,,ENG
00e70ba4-b03,SCH3,2954b244,50,cefa2a3e,2025-Jun-21 00:00:00,2025-Apr-30 00:00:00,ENG
00e70ba4-b03,SCH3,2f65461e,51,cefa2a3e,2025-Jun-06 00:00:00,,ENG
00e70ba4-b03,SCH3,411333a1,52,cefa2a3e,2025-May-24 00:00:00,,ENG
00e70ba4-b03,SCH3,d22178ba,53,cefa2a3e,2025-May-29 00:00:00,2025-Jun-19 00:00:00,ENG
00e70ba4-b03,SCH3,dc4d73ea,54,cefa2a3e,2025-May-06 00:00:00,2025-Jul-13 00:00:00,SCT
00e70ba4-b03,SCH3,0349f072,55,cefa2a3e,2025-May-05 00:00:00,,
00e70ba4-b03,SCH3,3eca4506,56,cefa2a3e,2025-Jul-10 00:00:00,2025-Jun-16 00:00:00,ENG
00e70ba4-b03,SCH3,92b792b1,57,cefa2a3e,2025-May-18 00:00:00,2025-Apr-25 00:00:00,
00e9397d-27e,SCH2,7b608d0b,58,fe83caf6,2025-May-29 00:00:00,2025-Jun-16 00:00:00,ENG
00e9397d-27e,SCH2,53d0af71,59,fe83caf6,2025-May-09 00:00:00,2025-Jul-04 00:00:00,ENG
00e9397d-27e,SCH2,e2b62fdb,60,fe83caf6,2025-May-03 00:00:00,,ENG
00e9397d-27e,SCH2,4aad84f3,61,fe83caf6,2025-May-11 00:00:00,,ENG
00e9397d-27e,SCH2,1dcf8d0f,62,fe83caf6,2025-May-01 00:00:00,2025-Jun-09 00:00:00,SCT
00e9397d-27e,SCH2,b700d0cd,63,fe83caf6,2025-May-11 00:00:00,,ENG
00ecef55-ae2,SCH1,07ecfe0c,64,08ea919a,2025-Jun-09 00:00:00,,ENG
00ecef55-ae2,SCH1,b53c66b2,65,08ea919a,2025-Jun-01 00:00:00,2025-May-26 00:00:00,NIR
00ecef55-ae2,SCH1,c2dae723,66,08ea919a,2025-Jun-20 00:00:00,2025-Jul-10 00:00:00,ENG
00ecef55-ae2,SCH1,1bf5014d,67,08ea919a,2025-Jun-25 00:00:00,2025-Jun-22 00:00:00,ENG
00ecef55-ae2,SCH1,c6c02ce4,68,08ea919a,2025-Apr-26 00:00:00,2025-Apr-26 00:00:00,ENG
00ecef55-ae2,SCH1,dabf7827,69,08ea919a,2025-Jun-17 00:00:00,,ENG
00f6b660-59e,SCH2,66640ff8,70,bc793f46,2025-May-03 00:00:00,2025-May-19 00:00:00,ENG
00f6b660-59e,SCH2,e8a1c6ef,71,bc793f46,2025-Apr-22 00:00:00,2025-Jun-25 00:00:00,SCT
