pupilnolongeronrolltableid,NativeId,termlyexclusionsoffrolltableid,termlyexclusionsoffrollorderseqcolumn,sourceid,startdate,sessions,reason1,reason2,reason3,category,senprovision
051dc393-f88,SCH8,127c5209,1,b24eeceb,2025-Jun-02 00:00:00,10.0,PP,,,PERM,K
051dc393-f88,SCH8,7abc57c5,2,b24eeceb,2025-Jul-09 00:00:00,10.0,MT,,SM,PERM,
051dc393-f88,SCH8,19bce2c2,3,b24eeceb,2025-May-08 00:00:00,10.0,BU,VA,,LNCH,K
051dc393-f88,SCH8,2306f1a3,4,b24eeceb,2025-May-28 00:00:00,10.0,PP,,,FIXD,
051dc393-f88,SCH8,08a276b1,5,b24eeceb,2025-Jun-23 00:00:00,10.0,TH,,,LNCH,P
051dc393-f88,SCH8,99693eaa,6,b24eeceb,2025-Jun-16 00:00:00,10.0,PP,,,FIXD,
051dc393-f88,SCH8,0e5a842c,7,b24eeceb,2025-May-30 00:00:00,10.0,SM,,,FIXD,
05ad4b06-152,SCH2,8fd031c2,8,47ced69c,2025-Jun-22 00:00:00,10.0,VA,,,FIXD,K
05ad4b06-152,SCH2,0baf7b73,9,47ced69c,2025-May-08 00:00:00,10.0,DM,,,PERM,
05ad4b06-152,SCH2,8a4a6bfa,10,47ced69c,2025-Jul-01 00:00:00,10.0,PP,,,FIXD,
05ad4b06-152,SCH2,1d546b41,11,47ced69c,2025-Jun-28 00:00:00,10.0,DA,,,FIXD,
05ad4b06-152,SCH2,d1d388a8,12,47ced69c,2025-Jun-14 00:00:00,10.0,PA,MT,,LNCH,
05ad4b06-152,SCH2,c99c3968,13,47ced69c,2025-Jun-17 00:00:00,10.0,SM,SM,,PERM,
05ad4b06-152,SCH2,a28d68a3,14,47ced69c,2025-Jul-14 00:00:00,10.0,PA,PA,,PERM,
0a52e09d-dfb,SCH5,c2b9255a,15,f226a4a6,2025-Jun-18 00:00:00,10.0,PP,,VA,FIXD,E
0a52e09d-dfb,SCH5,533d524d,16,f226a4a6,2025-May-22 00:00:00,10.0,BU,,,PERM,S
0a52e09d-dfb,SCH5,82092b1a,17,f226a4a6,2025-Jul-14 00:00:00,10.0,MT,,,FIXD,
0a52e09d-dfb,SCH5,62ff91f5,18,f226a4a6,2025-Apr-29 00:00:00,10.0,VP,,,PERM,
0a52e09d-dfb,SCH5,c5c453d3,19,f226a4a6,2025-Jun-30 00:00:00,10.0,TH,DA,,FIXD,
0a52e09d-dfb,SCH5,8e8235cd,20,f226a4a6,2025-Apr-26 00:00:00,10.0,DM,,VA,FIXD,
0a52e09d-dfb,SCH5,4e3100df,21,f226a4a6,2025-Jun-23 00:00:00,10.0,SM,PP,,FIXD,
0a52e09d-dfb,SCH5,88903c54,22,f226a4a6,2025-Jul-05 00:00:00,10.0,PA,,BU,LNCH,K
0dfd8155-615,SCH2,546bd62e,23,a121453d,2025-Apr-25 00:00:00,10.0,SM,,,FIXD,
0dfd8155-615,SCH2,8147531f,24,a121453d,2025-Jun-25 00:00:00,10.0,SM,,,FIXD,N
0dfd8155-615,SCH2,ee1dffcb,25,a121453d,2025-Jun-03 00:00:00,10.0,VP,,SM,PERM,
0dfd8155-615,SCH2,b444fe22,26,a121453d,2025-Apr-21 00:00:00,10.0,PP,,,PERM,S
0dfd8155-615,SCH2,b227c77a,27,a121453d,2025-Jul-11 00:00:00,10.0,DA,VA,,LNCH,P
