pupilonrolltableid,NativeId,termlyexclusionsonrolltableid,termlyexclusionsonrollorderseqcolumn,sourceid,startdate,sessions,reason1,reason2,reason3,category,senprovision
004e63d6-f12,SCH3,27b7cb18,1,ea1dcb81,2025-Jun-02 00:00:00,10.0,DB,,VP,FIXD,E
004e63d6-f12,SCH3,876e19f5,2,ea1dcb81,2025-May-14 00:00:00,10.0,VP,,,FIXD,E
004e63d6-f12,SCH3,474e15c7,3,ea1dcb81,2025-May-03 00:00:00,10.0,PP,VP,,LNCH,E
00737891-2c8,SCH3,9389ba4a,4,26ee1c7e,2025-Apr-25 00:00:00,10.0,DM,,,LNCH,
00737891-2c8,SCH3,8ae70f3b,5,26ee1c7e,2025-May-23 00:00:00,10.0,RA,BU,,FIXD,
00737891-2c8,SCH3,441ac93d,6,26ee1c7e,2025-May-07 00:00:00,10.0,SM,,,FIXD,
00737891-2c8,SCH3,2c55db28,7,26ee1c7e,2025-May-07 00:00:00,10.0,DM,,,FIXD,
00737891-2c8,SCH3,7c98606d,8,26ee1c7e,2025-Jun-05 00:00:00,10.0,VA,RA,,PERM,
00737891-2c8,SCH3,4acd33ee,9,26ee1c7e,2025-Jun-22 00:00:00,10.0,SM,,,PERM,
00737891-2c8,SCH3,3e6a573c,10,26ee1c7e,2025-May-11 00:00:00,10.0,OT,,,FIXD,
00c57c03-6d2,SCH3,ef947638,11,6f50637a,2025-Jul-04 00:00:00,10.0,RA,TH,,LNCH,
00c57c03-6d2,SCH3,cf16101c,12,6f50637a,2025-Jun-27 00:00:00,10.0,RA,,,LNCH,
00c57c03-6d2,SCH3,5535815e,13,6f50637a,2025-May-12 00:00:00,10.0,VP,SM,,PERM,
00e3e3c1-738,SCH3,ce3ef18f,14,cae9b309,2025-Jun-09 00:00:00,10.0,RA,,,FIXD,P
00e3e3c1-738,SCH3,17f3367c,15,cae9b309,2025-May-03 00:00:00,10.0,PP,,,FIXD,P
00e3e3c1-738,SCH3,d87d3294,16,cae9b309,2025-Jul-06 00:00:00,10.0,PP,,,FIXD,P
00e3e3c1-738,SCH3,f2370405,17,cae9b309,2025-Apr-23 00:00:00,10.0,BU,PP,PA,FIXD,P
00e3e3c1-738,SCH3,a0872936,18,cae9b309,2025-Jul-08 00:00:00,10.0,PA,RA,,LNCH,P
00e3e3c1-738,SCH3,cbde92e0,19,cae9b309,2025-May-09 00:00:00,10.0,PP,DM,,PERM,P
00ecef55-ae2,SCH1,593f77f8,20,08ea919a,2025-May-03 00:00:00,10.0,DM,,,PERM,
01080e0c-45b,SCH6,bebd4ff2,21,71d5c6f2,2025-Jul-13 00:00:00,10.0,VA,,,FIXD,
01080e0c-45b,SCH6,aa5b0866,22,71d5c6f2,2025-Jun-28 00:00:00,10.0,PP,,,FIXD,
01080e0c-45b,SCH6,71b6e68d,23,71d5c6f2,2025-Jul-02 00:00:00,10.0,VA,DB,,LNCH,
01080e0c-45b,SCH6,1e4523db,24,71d5c6f2,2025-May-12 00:00:00,10.0,PP,,,FIXD,
01080e0c-45b,SCH6,742d0891,25,71d5c6f2,2025-Apr-24 00:00:00,10.0,TH,,,FIXD,
01080e0c-45b,SCH6,1e92101c,26,71d5c6f2,2025-Apr-23 00:00:00,10.0,DB,,,PERM,
01080e0c-45b,SCH6,9b33a27a,27,71d5c6f2,2025-May-25 00:00:00,10.0,BU,SM,DB,FIXD,
010d4a31-384,SCH1,df668067,28,5c6143d9,2025-May-29 00:00:00,10.0,DA,,SM,LNCH,
010d4a31-384,SCH1,b531a845,29,5c6143d9,2025-Jul-13 00:00:00,10.0,VA,,,LNCH,
010d4a31-384,SCH1,12f64902,30,5c6143d9,2025-May-23 00:00:00,10.0,DB,VA,BU,LNCH,
0111df42-53e,SCH5,50d194d3,31,890f9b21,2025-Jun-06 00:00:00,10.0,TH,,,LNCH,N
0111df42-53e,SCH5,31a48d9a,32,890f9b21,2025-May-01 00:00:00,10.0,BU,,,LNCH,N
0111df42-53e,SCH5,86230cfe,33,890f9b21,2025-Jun-24 00:00:00,10.0,PP,,,FIXD,N
016e97a4-301,SCH8,36556971,34,d1d24ad8,2025-Jul-04 00:00:00,10.0,PP,,,FIXD,N
016e97a4-301,SCH8,13f0404e,35,d1d24ad8,2025-Jun-30 00:00:00,10.0,DM,,,LNCH,N
017fffe4-75c,SCH8,01f9e9d5,36,cf02e1df,2025-Jul-01 00:00:00,10.0,BU,PA,,PERM,E
017fffe4-75c,SCH8,f3273344,37,cf02e1df,2025-Jun-02 00:00:00,10.0,TH,,,FIXD,E
017fffe4-75c,SCH8,993e4521,38,cf02e1df,2025-May-11 00:00:00,10.0,SM,,,FIXD,E
017fffe4-75c,SCH8,a695ec86,39,cf02e1df,2025-Jul-12 00:00:00,10.0,SM,DB,,PERM,E
017fffe4-75c,SCH8,6d414102,40,cf02e1df,2025-Jun-27 00:00:00,10.0,BU,,,PERM,E
017fffe4-75c,SCH8,c7c8e877,41,cf02e1df,2025-May-05 00:00:00,10.0,VP,BU,,PERM,E
017fffe4-75c,SCH8,00d4b9be,42,cf02e1df,2025-Jul-03 00:00:00,10.0,RA,PA,,PERM,E
017fffe4-75c,SCH8,443c4034,43,cf02e1df,2025-Jun-28 00:00:00,10.0,VA,,,PERM,E
0183bc4b-6ce,SCH2,c3de0dbf,44,c9662522,2025-Jun-07 00:00:00,10.0,DM,DA,,LNCH,
01aa8772-70d,SCH2,d3b6ffa0,45,2e376bf6,2025-May-24 00:00:00,10.0,PP,,,PERM,
01aa8772-70d,SCH2,5ec6342a,46,2e376bf6,2025-Jun-22 00:00:00,10.0,RA,PA,,PERM,
01aa8772-70d,SCH2,79bf5671,47,2e376bf6,2025-May-01 00:00:00,10.0,VP,,BU,FIXD,
01aa8772-70d,SCH2,a2beffd9,48,2e376bf6,2025-Jul-08 00:00:00,10.0,BU,,,FIXD,
01aa8772-70d,SCH2,f2aefc49,49,2e376bf6,2025-May-27 00:00:00,10.0,SM,DB,,FIXD,
01aa8772-70d,SCH2,25063c56,50,2e376bf6,2025-May-23 00:00:00,10.0,BU,,,FIXD,
01aa8772-70d,SCH2,4ab4bdcb,51,2e376bf6,2025-Jun-26 00:00:00,10.0,VA,,PP,FIXD,
01aa8772-70d,SCH2,2eba782f,52,2e376bf6,2025-May-25 00:00:00,10.0,OT,,,LNCH,
01b4b057-87a,SCH5,a18c041f,53,3c94c6d5,2025-May-04 00:00:00,10.0,DA,,,LNCH,
01b4b057-87a,SCH5,a796637a,54,3c94c6d5,2025-Apr-23 00:00:00,10.0,PA,,,PERM,
01b4b057-87a,SCH5,8774aca5,55,3c94c6d5,2025-May-29 00:00:00,10.0,DM,SM,,FIXD,
01b4b057-87a,SCH5,93822fdc,56,3c94c6d5,2025-Jun-04 00:00:00,10.0,PP,,,PERM,
01b4b057-87a,SCH5,d656e1a1,57,3c94c6d5,2025-Jun-06 00:00:00,10.0,RA,,,PERM,
01b4b057-87a,SCH5,27a8494a,58,3c94c6d5,2025-Jun-07 00:00:00,10.0,PP,,,PERM,
01b4b057-87a,SCH5,7b7d5c46,59,3c94c6d5,2025-May-03 00:00:00,10.0,VP,,,FIXD,
01b4b057-87a,SCH5,b5d5bf18,60,3c94c6d5,2025-Apr-30 00:00:00,10.0,RA,,,FIXD,
01b4b057-87a,SCH5,619748aa,61,3c94c6d5,2025-Jun-15 00:00:00,10.0,VP,VP,,PERM,
01da4f0d-44e,SCH3,e60c2119,62,e2ad6cda,2025-May-10 00:00:00,10.0,BU,,,FIXD,K
01da4f0d-44e,SCH3,e3e5d84c,63,e2ad6cda,2025-Jun-01 00:00:00,10.0,BU,,VP,PERM,K
01da4f0d-44e,SCH3,833aca55,64,e2ad6cda,2025-May-20 00:00:00,10.0,DB,,,PERM,K
01da4f0d-44e,SCH3,4cd61e0a,65,e2ad6cda,2025-Jul-06 00:00:00,10.0,TH,,,FIXD,K
01da4f0d-44e,SCH3,ecce3f12,66,e2ad6cda,2025-Apr-20 00:00:00,10.0,DB,,OT,FIXD,K
01da4f0d-44e,SCH3,d566e9b1,67,e2ad6cda,2025-Jun-20 00:00:00,10.0,PP,BU,,FIXD,K
01da4f0d-44e,SCH3,b2c47823,68,e2ad6cda,2025-May-12 00:00:00,10.0,VP,,,FIXD,K
022306da-25f,SCH3,5a488dd3,69,d7f966fa,2025-Jun-14 00:00:00,10.0,BU,,,LNCH,N
022306da-25f,SCH3,5f239f13,70,d7f966fa,2025-Jun-29 00:00:00,10.0,PP,PP,,LNCH,N
022306da-25f,SCH3,f1ba5b97,71,d7f966fa,2025-Jun-23 00:00:00,10.0,BU,PP,,FIXD,N
022306da-25f,SCH3,3aaf7d9a,72,d7f966fa,2025-May-07 00:00:00,10.0,SM,,,FIXD,N
0228116d-6b3,SCH6,72ebb00b,73,13e33880,2025-May-28 00:00:00,10.0,PP,,,FIXD,
0228116d-6b3,SCH6,a2aecc21,74,13e33880,2025-May-24 00:00:00,10.0,SM,VP,,PERM,
0228116d-6b3,SCH6,432a30bc,75,13e33880,2025-Jun-18 00:00:00,10.0,PA,,,PERM,
0228116d-6b3,SCH6,1ea0e2fe,76,13e33880,2025-Jul-08 00:00:00,10.0,DA,,,PERM,
0228116d-6b3,SCH6,e8ded60b,77,13e33880,2025-May-26 00:00:00,10.0,SM,,,FIXD,
02472728-188,SCH8,cdfc4e13,78,b7a36245,2025-May-18 00:00:00,10.0,VP,PA,,PERM,E
024a1d5e-4cb,SCH7,742b70c7,79,09acd2e3,2025-May-24 00:00:00,10.0,PA,,DM,PERM,S
024a1d5e-4cb,SCH7,121deb92,80,09acd2e3,2025-Jul-10 00:00:00,10.0,DA,,,FIXD,S
02601e4d-eb9,SCH4,66c974a3,81,139d7d16,2025-May-14 00:00:00,10.0,PA,,,LNCH,E
02601e4d-eb9,SCH4,6c24fe46,82,139d7d16,2025-May-18 00:00:00,10.0,BU,,,LNCH,E
02601e4d-eb9,SCH4,e22da29c,83,139d7d16,2025-Jul-09 00:00:00,10.0,DM,,,PERM,E
02601e4d-eb9,SCH4,fc492907,84,139d7d16,2025-Jun-02 00:00:00,10.0,PA,,,FIXD,E
02601e4d-eb9,SCH4,ad7eb02d,85,139d7d16,2025-Jul-14 00:00:00,10.0,DM,SM,,PERM,E
02601e4d-eb9,SCH4,af768746,86,139d7d16,2025-May-20 00:00:00,10.0,RA,,,PERM,E
02601e4d-eb9,SCH4,e11bf6ed,87,139d7d16,2025-May-08 00:00:00,10.0,SM,,,PERM,E
02601e4d-eb9,SCH4,0f54a621,88,139d7d16,2025-May-23 00:00:00,10.0,BU,,,PERM,E
02c424ff-3d9,SCH1,7ab6ef97,89,1e59f10e,2025-May-19 00:00:00,10.0,VA,RA,,PERM,S
02c424ff-3d9,SCH1,14ac3ed8,90,1e59f10e,2025-Jul-11 00:00:00,10.0,VP,VP,,FIXD,S
02c424ff-3d9,SCH1,5210cb52,91,1e59f10e,2025-Jun-07 00:00:00,10.0,VA,OT,,PERM,S
02c424ff-3d9,SCH1,9b164c21,92,1e59f10e,2025-May-24 00:00:00,10.0,PA,,,PERM,S
02caee4d-04a,SCH1,b5ce3631,93,1dfad1a9,2025-Apr-30 00:00:00,10.0,PP,VP,,PERM,E
02caee4d-04a,SCH1,70f6c53a,94,1dfad1a9,2025-Jun-30 00:00:00,10.0,DB,RA,,FIXD,E
02caee4d-04a,SCH1,0cf639a0,95,1dfad1a9,2025-Jun-27 00:00:00,10.0,SM,VP,,LNCH,E
02caee4d-04a,SCH1,ce825742,96,1dfad1a9,2025-Jun-17 00:00:00,10.0,BU,,,PERM,E
02caee4d-04a,SCH1,b807cd5d,97,1dfad1a9,2025-Jul-11 00:00:00,10.0,PP,SM,,PERM,E
02caee4d-04a,SCH1,975c9157,98,1dfad1a9,2025-Apr-25 00:00:00,10.0,VP,,,FIXD,E
02caee4d-04a,SCH1,924a2c92,99,1dfad1a9,2025-Jun-29 00:00:00,10.0,SM,SM,,LNCH,E
02caee4d-04a,SCH1,5fd9a5c2,100,1dfad1a9,2025-May-14 00:00:00,10.0,DB,VA,,PERM,E
02caee4d-04a,SCH1,1772bffc,101,1dfad1a9,2025-Apr-25 00:00:00,10.0,PP,,,PERM,E
033ccabe-2a5,SCH3,fffff63c,102,29afa2d4,2025-Jul-13 00:00:00,10.0,TH,,,PERM,K
033ccabe-2a5,SCH3,a7b2b351,103,29afa2d4,2025-May-07 00:00:00,10.0,DA,,,FIXD,K
033ccabe-2a5,SCH3,ccc196a1,104,29afa2d4,2025-Jun-07 00:00:00,10.0,BU,,,LNCH,K
033ccabe-2a5,SCH3,0879af69,105,29afa2d4,2025-Jul-06 00:00:00,10.0,RA,,,PERM,K
033ccabe-2a5,SCH3,ce9d587b,106,29afa2d4,2025-Apr-26 00:00:00,10.0,TH,VP,,LNCH,K
033ccabe-2a5,SCH3,210d50f5,107,29afa2d4,2025-May-19 00:00:00,10.0,PP,VA,,FIXD,K
035cbfb4-b5d,SCH7,53fcf5a9,108,b2b7e9dc,2025-Jun-15 00:00:00,10.0,OT,,,FIXD,
035cbfb4-b5d,SCH7,b1a88f58,109,b2b7e9dc,2025-May-31 00:00:00,10.0,RA,,OT,FIXD,
035cbfb4-b5d,SCH7,4ff3fa9d,110,b2b7e9dc,2025-Jul-05 00:00:00,10.0,PP,VA,,FIXD,
035cbfb4-b5d,SCH7,6dae5255,111,b2b7e9dc,2025-Jun-15 00:00:00,10.0,VP,,,FIXD,
035cbfb4-b5d,SCH7,1cff77c4,112,b2b7e9dc,2025-Jul-09 00:00:00,10.0,VP,,,FIXD,
03ac5370-389,SCH8,aea1bc01,113,da6d0f77,2025-Apr-29 00:00:00,10.0,DA,,,FIXD,K
03ac5370-389,SCH8,784a270a,114,da6d0f77,2025-Jun-21 00:00:00,10.0,PP,,,LNCH,K
03ac5370-389,SCH8,e41e30e1,115,da6d0f77,2025-May-19 00:00:00,10.0,SM,,,FIXD,K
03ac5370-389,SCH8,69436bef,116,da6d0f77,2025-May-30 00:00:00,10.0,BU,,,PERM,K
03ac5370-389,SCH8,30ee28c4,117,da6d0f77,2025-Jun-06 00:00:00,10.0,RA,,,FIXD,K
03ac5370-389,SCH8,87f9eb57,118,da6d0f77,2025-May-29 00:00:00,10.0,VA,,DB,LNCH,K
03ac5370-389,SCH8,8239e182,119,da6d0f77,2025-Jun-26 00:00:00,10.0,PA,,,FIXD,K
03ac5370-389,SCH8,caa9a078,120,da6d0f77,2025-Jul-08 00:00:00,10.0,BU,,,PERM,K
03ac5370-389,SCH8,7f329d58,121,da6d0f77,2025-Jun-21 00:00:00,10.0,PA,,,FIXD,K
03ac5370-389,SCH8,2af5247e,122,da6d0f77,2025-Jun-03 00:00:00,10.0,VP,VP,,PERM,K
03b8842c-a6f,SCH6,ab28a33c,123,82b733a6,2025-May-10 00:00:00,10.0,VP,,,FIXD,
03b8842c-a6f,SCH6,bcee2486,124,82b733a6,2025-May-24 00:00:00,10.0,SM,,,PERM,
03b8842c-a6f,SCH6,2d213b1f,125,82b733a6,2025-Jun-04 00:00:00,10.0,VA,,,PERM,
03b8842c-a6f,SCH6,1a4582b4,126,82b733a6,2025-Jul-02 00:00:00,10.0,PP,,,FIXD,
03b8842c-a6f,SCH6,4713cc30,127,82b733a6,2025-Apr-23 00:00:00,10.0,RA,,,PERM,
03b8842c-a6f,SCH6,4362b969,128,82b733a6,2025-May-31 00:00:00,10.0,DB,VA,,FIXD,
03b8842c-a6f,SCH6,15e10e02,129,82b733a6,2025-Jul-02 00:00:00,10.0,DA,,,PERM,
03c8f697-4e8,SCH7,4d921c83,130,d3dd24cb,2025-Jul-09 00:00:00,10.0,VP,PA,,FIXD,
03c8f697-4e8,SCH7,c8e91e38,131,d3dd24cb,2025-Jul-07 00:00:00,10.0,PP,,,PERM,
03c8f697-4e8,SCH7,394c6eb6,132,d3dd24cb,2025-Jun-25 00:00:00,10.0,PA,,,FIXD,
03c8f697-4e8,SCH7,863f79dc,133,d3dd24cb,2025-Jun-07 00:00:00,10.0,OT,,,LNCH,
03cfdbb9-b8d,SCH8,d466872f,134,8071dd21,2025-Jun-27 00:00:00,10.0,VP,DM,,FIXD,
03cfdbb9-b8d,SCH8,cd0791f4,135,8071dd21,2025-Jun-17 00:00:00,10.0,PA,,,LNCH,
03cfdbb9-b8d,SCH8,50395524,136,8071dd21,2025-Jun-29 00:00:00,10.0,BU,,,PERM,
03cfdbb9-b8d,SCH8,8df9fba6,137,8071dd21,2025-May-13 00:00:00,10.0,VP,,,PERM,
03cfdbb9-b8d,SCH8,e8c196f5,138,8071dd21,2025-Jun-06 00:00:00,10.0,DA,,,FIXD,
03cfdbb9-b8d,SCH8,3a67e074,139,8071dd21,2025-Jun-15 00:00:00,10.0,VP,,BU,FIXD,
03cfdbb9-b8d,SCH8,3b519239,140,8071dd21,2025-Jun-19 00:00:00,10.0,RA,DM,,FIXD,
03cfdbb9-b8d,SCH8,88ea1b35,141,8071dd21,2025-May-10 00:00:00,10.0,DA,,,PERM,
03cfdbb9-b8d,SCH8,bbba4ea3,142,8071dd21,2025-May-23 00:00:00,10.0,OT,BU,,FIXD,
03cfdbb9-b8d,SCH8,56fc90d6,143,8071dd21,2025-Jul-11 00:00:00,10.0,RA,,,FIXD,
040e8bcd-133,SCH4,828ccc68,144,f6b6e574,2025-May-08 00:00:00,10.0,OT,,,PERM,
040e8bcd-133,SCH4,e301f0bd,145,f6b6e574,2025-May-15 00:00:00,10.0,VP,,,FIXD,
040e8bcd-133,SCH4,9d9732eb,146,f6b6e574,2025-Jun-19 00:00:00,10.0,DB,TH,,LNCH,
040e8bcd-133,SCH4,03cde583,147,f6b6e574,2025-May-17 00:00:00,10.0,PA,,,PERM,
040e8bcd-133,SCH4,ea5b839a,148,f6b6e574,2025-May-02 00:00:00,10.0,BU,,,PERM,
040e8bcd-133,SCH4,3eed65b2,149,f6b6e574,2025-Jul-08 00:00:00,10.0,VP,,,FIXD,
040e8bcd-133,SCH4,67f1e75c,150,f6b6e574,2025-Jun-24 00:00:00,10.0,SM,,,FIXD,
040e8bcd-133,SCH4,28e3e447,151,f6b6e574,2025-Apr-20 00:00:00,10.0,SM,,,FIXD,
040e8bcd-133,SCH4,ea07518f,152,f6b6e574,2025-Apr-23 00:00:00,10.0,DA,PA,,PERM,
0444604c-694,SCH2,a5ea04eb,153,3cb58ae3,2025-May-22 00:00:00,10.0,BU,,,LNCH,S
0444604c-694,SCH2,cff892c6,154,3cb58ae3,2025-May-05 00:00:00,10.0,PA,VA,,FIXD,S
0444604c-694,SCH2,3b1760c4,155,3cb58ae3,2025-Jun-16 00:00:00,10.0,SM,OT,,LNCH,S
0444604c-694,SCH2,7abc7389,156,3cb58ae3,2025-May-18 00:00:00,10.0,RA,,,FIXD,S
0444604c-694,SCH2,a9189d52,157,3cb58ae3,2025-May-13 00:00:00,10.0,DB,,,FIXD,S
0444604c-694,SCH2,be320212,158,3cb58ae3,2025-Jun-02 00:00:00,10.0,PP,PA,,FIXD,S
0444604c-694,SCH2,2af9933d,159,3cb58ae3,2025-Jul-10 00:00:00,10.0,RA,SM,,PERM,S
0444604c-694,SCH2,ea739746,160,3cb58ae3,2025-Jul-02 00:00:00,10.0,DB,,,PERM,S
0447a202-828,SCH6,1cd03604,161,bbb6d52d,2025-Apr-29 00:00:00,10.0,TH,,,LNCH,
0447a202-828,SCH6,120b082c,162,bbb6d52d,2025-Jun-06 00:00:00,10.0,RA,,,PERM,
0447a202-828,SCH6,cd05483a,163,bbb6d52d,2025-May-03 00:00:00,10.0,RA,,,LNCH,
04a82cbe-ee8,SCH7,125c14bf,164,ec02895b,2025-Jun-12 00:00:00,10.0,DB,,,FIXD,S
04a82cbe-ee8,SCH7,eaf2951a,165,ec02895b,2025-Jun-16 00:00:00,10.0,BU,DB,,LNCH,S
04a82cbe-ee8,SCH7,859b2faf,166,ec02895b,2025-May-26 00:00:00,10.0,OT,VA,,LNCH,S
04dc2391-b22,SCH2,84335e97,167,5b816d3c,2025-May-02 00:00:00,10.0,PP,RA,,FIXD,
04dc2391-b22,SCH2,293ffce8,168,5b816d3c,2025-May-01 00:00:00,10.0,TH,,,PERM,
04dc2391-b22,SCH2,7166f6aa,169,5b816d3c,2025-Apr-20 00:00:00,10.0,VP,,,PERM,
04dc2391-b22,SCH2,09240666,170,5b816d3c,2025-May-31 00:00:00,10.0,PP,,,PERM,
04dc2391-b22,SCH2,00737d41,171,5b816d3c,2025-Jun-07 00:00:00,10.0,SM,,,FIXD,
04dc2391-b22,SCH2,df8c3a60,172,5b816d3c,2025-May-05 00:00:00,10.0,VA,,,PERM,
04dc2391-b22,SCH2,b272ccfa,173,5b816d3c,2025-Apr-22 00:00:00,10.0,SM,,,FIXD,
04f6c154-19a,SCH3,e17f8050,174,35dd7870,2025-Jun-07 00:00:00,10.0,SM,,,PERM,N
04f6c154-19a,SCH3,cf78462f,175,35dd7870,2025-Jun-23 00:00:00,10.0,PP,,,PERM,N
055f21b6-a73,SCH3,10627f8b,176,0f4d0540,2025-Jun-19 00:00:00,10.0,DB,VA,,PERM,
055f21b6-a73,SCH3,2c7dc63c,177,0f4d0540,2025-May-25 00:00:00,10.0,PP,,,FIXD,
055f21b6-a73,SCH3,8adc96f2,178,0f4d0540,2025-Jun-23 00:00:00,10.0,VA,,,FIXD,
055f21b6-a73,SCH3,d705a266,179,0f4d0540,2025-Jun-05 00:00:00,10.0,RA,VP,,LNCH,
055f21b6-a73,SCH3,76b0ffa9,180,0f4d0540,2025-Jul-14 00:00:00,10.0,RA,PP,,PERM,
055f21b6-a73,SCH3,082e6233,181,0f4d0540,2025-Jun-19 00:00:00,10.0,PP,,,LNCH,
05b16258-a68,SCH7,24d7c916,182,9de0af3e,2025-Jul-03 00:00:00,10.0,RA,,PP,PERM,N
05b16258-a68,SCH7,02c1ef17,183,9de0af3e,2025-Apr-29 00:00:00,10.0,BU,,,PERM,N
05b16258-a68,SCH7,736dcb02,184,9de0af3e,2025-Jun-02 00:00:00,10.0,VA,,,LNCH,N
05b16258-a68,SCH7,d4d8bdab,185,9de0af3e,2025-May-19 00:00:00,10.0,BU,PP,,FIXD,N
05b63328-fb5,SCH6,4c050d70,186,fe475ff4,2025-Jun-21 00:00:00,10.0,PA,,,LNCH,
05b63328-fb5,SCH6,74f703e5,187,fe475ff4,2025-Jun-26 00:00:00,10.0,PP,VA,,PERM,
05b63328-fb5,SCH6,1a52004e,188,fe475ff4,2025-Jun-20 00:00:00,10.0,SM,,,FIXD,
05b63328-fb5,SCH6,3c47a8fb,189,fe475ff4,2025-Jun-16 00:00:00,10.0,PP,,,PERM,
05b63328-fb5,SCH6,d16f73ce,190,fe475ff4,2025-May-18 00:00:00,10.0,SM,VP,,FIXD,
05b63328-fb5,SCH6,4afbed40,191,fe475ff4,2025-Jun-03 00:00:00,10.0,SM,,,LNCH,
05b63328-fb5,SCH6,23f68182,192,fe475ff4,2025-Apr-26 00:00:00,10.0,VP,VP,,FIXD,
05b63328-fb5,SCH6,3418b982,193,fe475ff4,2025-Apr-28 00:00:00,10.0,DM,,,PERM,
05b63328-fb5,SCH6,69d6ba08,194,fe475ff4,2025-Jun-05 00:00:00,10.0,SM,DB,,FIXD,
05b63328-fb5,SCH6,7d1e2376,195,fe475ff4,2025-May-01 00:00:00,10.0,BU,,,LNCH,
05e11c27-b9a,SCH7,661147fe,196,b03ec315,2025-May-04 00:00:00,10.0,PP,,,PERM,
05e11c27-b9a,SCH7,226fb5b6,197,b03ec315,2025-May-19 00:00:00,10.0,DM,PA,,PERM,
05e11c27-b9a,SCH7,3484c9a9,198,b03ec315,2025-Apr-30 00:00:00,10.0,BU,,,FIXD,
05e11c27-b9a,SCH7,261a2dab,199,b03ec315,2025-Jul-14 00:00:00,10.0,OT,,,LNCH,
05e11c27-b9a,SCH7,55dab9d8,200,b03ec315,2025-May-03 00:00:00,10.0,BU,,,FIXD,
0609c49b-158,SCH6,672d3e4a,201,c1317049,2025-Jun-08 00:00:00,10.0,RA,,,LNCH,
061e7298-383,SCH6,7d2a00fd,202,20d5307d,2025-Apr-27 00:00:00,10.0,VA,VA,,PERM,
061e7298-383,SCH6,ab6f8f05,203,20d5307d,2025-May-26 00:00:00,10.0,VP,SM,,PERM,
061e7298-383,SCH6,ebfe5296,204,20d5307d,2025-Jun-15 00:00:00,10.0,BU,,,LNCH,
061e7298-383,SCH6,4e322228,205,20d5307d,2025-Jun-16 00:00:00,10.0,DB,,,LNCH,
061e7298-383,SCH6,fecb5ece,206,20d5307d,2025-Jun-19 00:00:00,10.0,DM,,,FIXD,
0629d227-e9a,SCH8,b30f3841,207,f22a1abd,2025-Jun-23 00:00:00,10.0,PP,,,FIXD,S
0629d227-e9a,SCH8,c643e9d9,208,f22a1abd,2025-May-23 00:00:00,10.0,OT,,,PERM,S
0629d227-e9a,SCH8,2cb74163,209,f22a1abd,2025-Jun-10 00:00:00,10.0,DA,,,FIXD,S
0632ec71-1d6,SCH8,cefd9e42,210,2f86cc81,2025-Jun-25 00:00:00,10.0,OT,PA,,FIXD,N
0632ec71-1d6,SCH8,5aaedf5d,211,2f86cc81,2025-May-22 00:00:00,10.0,OT,,,PERM,N
06377f50-905,SCH3,58d3063f,212,ca8626d9,2025-Jun-09 00:00:00,10.0,RA,VP,,PERM,
06377f50-905,SCH3,3c2f501e,213,ca8626d9,2025-Jun-27 00:00:00,10.0,DA,SM,,PERM,
06377f50-905,SCH3,f5190ddd,214,ca8626d9,2025-May-01 00:00:00,10.0,SM,PA,,FIXD,
06377f50-905,SCH3,200f7987,215,ca8626d9,2025-May-25 00:00:00,10.0,PA,,,PERM,
06377f50-905,SCH3,58f850e8,216,ca8626d9,2025-May-05 00:00:00,10.0,SM,RA,PA,PERM,
06377f50-905,SCH3,af1612c3,217,ca8626d9,2025-May-26 00:00:00,10.0,TH,,,PERM,
06377f50-905,SCH3,928b5dd4,218,ca8626d9,2025-May-29 00:00:00,10.0,RA,,,FIXD,
063b442f-cdf,SCH1,978460bc,219,cd4a0460,2025-May-04 00:00:00,10.0,BU,DM,PA,PERM,
063b442f-cdf,SCH1,96558990,220,cd4a0460,2025-Jun-05 00:00:00,10.0,VA,SM,,FIXD,
063b442f-cdf,SCH1,e5811700,221,cd4a0460,2025-Jun-26 00:00:00,10.0,BU,BU,VA,FIXD,
0647b46a-8fd,SCH2,46e2b920,222,a69fcd4b,2025-May-08 00:00:00,10.0,VA,,,FIXD,E
0647b46a-8fd,SCH2,a16c3b54,223,a69fcd4b,2025-Jul-07 00:00:00,10.0,PA,,,FIXD,E
06734e86-daf,SCH8,6793f2a7,224,29c59ca4,2025-May-18 00:00:00,10.0,TH,PP,,LNCH,
06734e86-daf,SCH8,3ffffac2,225,29c59ca4,2025-Apr-28 00:00:00,10.0,VP,PP,,PERM,
06734e86-daf,SCH8,f264e9cb,226,29c59ca4,2025-May-13 00:00:00,10.0,SM,,,FIXD,
