pupilnolongeronrolltableid,NativeId,termlysessiondetailsoffrolltableid,termlysessiondetailsoffrollorderseqcolumn,sourceid,sessions,attendancereason
019cfc62-962,SCH8,a7acd00d,1,9470a5f6,135.0,E
019cfc62-962,SCH8,1bf22417,5,9470a5f6,132.0,G
019cfc62-962,SCH8,290da130,3,9470a5f6,131.0,O
019cfc62-962,SCH8,29d6f982,4,9470a5f6,132.0,S
019cfc62-962,SCH8,877bab83,6,9470a5f6,132.0,X
01dfc5f8-834,SCH4,45e49af6,8,7cc47afb,125.0,G
01dfc5f8-834,SCH4,4c74fe29,9,7cc47afb,132.0,I
01dfc5f8-834,SCH4,5fa1cb8e,7,7cc47afb,130.0,N
026cc4d1-17a,SCH6,500c7f8f,10,71f9e31e,138.0,C
026cc4d1-17a,SCH6,c66c3e13,12,71f9e31e,127.0,G
026cc4d1-17a,SCH6,23ee82e4,15,71f9e31e,122.0,H
026cc4d1-17a,SCH6,f196c376,13,71f9e31e,126.0,I
026cc4d1-17a,SCH6,f6ca1387,14,71f9e31e,145.0,M
026cc4d1-17a,SCH6,19167773,11,71f9e31e,127.0,T
02ba1dc3-fdb,SCH8,c3f59c67,19,4ae7f3e0,125.0,C
02ba1dc3-fdb,SCH8,fb12b60a,21,4ae7f3e0,121.0,G
02ba1dc3-fdb,SCH8,1234d61b,18,4ae7f3e0,129.0,H
02ba1dc3-fdb,SCH8,d47e65fa,23,4ae7f3e0,129.0,N
02ba1dc3-fdb,SCH8,c628fbc4,20,4ae7f3e0,129.0,U
04aa087a-56b,SCH2,7a46611e,29,34bb6125,130.0,C
04aa087a-56b,SCH2,5549bdde,31,34bb6125,132.0,E
04aa087a-56b,SCH2,f5174c13,25,34bb6125,129.0,H
04aa087a-56b,SCH2,e30f019c,24,34bb6125,139.0,M
04aa087a-56b,SCH2,d62e3542,26,34bb6125,132.0,R
04aa087a-56b,SCH2,e8773377,27,34bb6125,135.0,S
04aa087a-56b,SCH2,e637c718,28,34bb6125,135.0,X
04e4179f-966,SCH8,d5058b74,34,42856fad,130.0,C
04e4179f-966,SCH8,1390c853,39,42856fad,117.0,E
04e4179f-966,SCH8,d9cdac65,36,42856fad,134.0,G
04e4179f-966,SCH8,16daae8d,32,42856fad,135.0,I
04e4179f-966,SCH8,bea9d6fb,33,42856fad,139.0,N
04e4179f-966,SCH8,da2f2c18,37,42856fad,,O
04e4179f-966,SCH8,ff3d6b4d,40,42856fad,129.0,R
04e4179f-966,SCH8,82ddb836,35,42856fad,136.0,S
04e4179f-966,SCH8,23266bad,38,42856fad,131.0,X
04e43d34-d9f,SCH2,cc6808fa,45,4cf7d58b,134.0,E
04e43d34-d9f,SCH2,67191d68,42,4cf7d58b,119.0,I
04e43d34-d9f,SCH2,547b8e97,43,4cf7d58b,131.0,X
04e43d34-d9f,SCH2,f5ff22d3,44,4cf7d58b,131.0,Y
051dc393-f88,SCH6,c223903e,56,64f55ddf,128.0,C
051dc393-f88,SCH6,36a5752f,57,64f55ddf,131.0,H
051dc393-f88,SCH8,273ea1a3,47,b24eeceb,137.0,C
051dc393-f88,SCH8,1ff498d3,48,b24eeceb,126.0,E
051dc393-f88,SCH8,67b398be,49,b24eeceb,132.0,G
051dc393-f88,SCH8,e135a9b6,50,b24eeceb,131.0,H
051dc393-f88,SCH8,19e257b6,51,b24eeceb,133.0,N
051dc393-f88,SCH8,b97596ab,55,b24eeceb,136.0,S
051dc393-f88,SCH8,c9c80eb3,46,b24eeceb,,X
059fa684-b63,SCH5,214eab3e,63,72d3ea4c,132.0,C
059fa684-b63,SCH5,32d80bd8,61,72d3ea4c,136.0,E
059fa684-b63,SCH5,8a526902,64,72d3ea4c,131.0,G
059fa684-b63,SCH5,f8b6888f,60,72d3ea4c,135.0,I
059fa684-b63,SCH5,423945d0,62,72d3ea4c,128.0,M
059fa684-b63,SCH5,d1cb882e,59,72d3ea4c,131.0,R
059fa684-b63,SCH8,71ba54bd,67,b8bd8f2e,128.0,M
059fa684-b63,SCH8,dfa8d4ee,69,b8bd8f2e,117.0,N
059fa684-b63,SCH8,eb732e33,71,b8bd8f2e,122.0,T
05ad4b06-152,SCH2,541f2d29,77,47ced69c,129.0,E
05ad4b06-152,SCH2,df7a9620,75,47ced69c,129.0,H
05ad4b06-152,SCH2,711cfd57,78,47ced69c,129.0,I
05ad4b06-152,SCH2,d09aefc4,79,47ced69c,132.0,O
05ad4b06-152,SCH2,2b51b4ce,80,47ced69c,131.0,S
05ad4b06-152,SCH2,4d1d7a27,74,47ced69c,123.0,U
05ad4b06-152,SCH2,77d19fc4,76,47ced69c,127.0,Z
05f8b707-08e,SCH4,e393cc74,81,d23332e1,126.0,E
05f8b707-08e,SCH4,5ae1b517,82,d23332e1,126.0,H
05f8b707-08e,SCH4,0377df89,83,d23332e1,122.0,M
05f8b707-08e,SCH4,757d60e9,87,d23332e1,127.0,O
05f8b707-08e,SCH4,455d4a02,88,d23332e1,132.0,T
05f8b707-08e,SCH4,8d17c1d1,85,d23332e1,118.0,X
06a430c2-8e6,SCH1,c7bfe3a3,92,28419997,131.0,C
06a430c2-8e6,SCH1,d6d93a67,94,28419997,129.0,G
06a430c2-8e6,SCH1,4f5cae9c,91,28419997,134.0,H
06a430c2-8e6,SCH1,21fe2dff,89,28419997,123.0,I
06a430c2-8e6,SCH1,359390fa,96,28419997,140.0,N
06a430c2-8e6,SCH1,ca0dc569,90,28419997,137.0,O
06a430c2-8e6,SCH1,08df9fcb,95,28419997,142.0,R
07913620-e72,SCH2,2e5948a6,101,44a0faed,131.0,H
07913620-e72,SCH2,0889e67c,102,44a0faed,138.0,I
07913620-e72,SCH2,f352e842,104,44a0faed,124.0,M
07913620-e72,SCH2,1ff8e5c6,99,44a0faed,131.0,O
07913620-e72,SCH2,c6d58d0e,98,44a0faed,132.0,R
07913620-e72,SCH2,5c9531dd,100,44a0faed,124.0,S
07f54fe8-979,SCH1,c903c1ab,111,472e867b,136.0,#
07f54fe8-979,SCH1,37b05d0f,107,472e867b,132.0,I
07f54fe8-979,SCH1,95680429,112,472e867b,138.0,M
07f54fe8-979,SCH1,fdd74ac4,108,472e867b,131.0,R
07f54fe8-979,SCH1,3835a238,110,472e867b,125.0,X
0839f876-0c1,SCH8,ce37b2d1,113,8764a141,135.0,C
0839f876-0c1,SCH8,db44ffad,116,8764a141,131.0,E
0839f876-0c1,SCH8,2ffe9e9f,117,8764a141,126.0,H
0839f876-0c1,SCH8,52305533,114,8764a141,136.0,S
0839f876-0c1,SCH8,424a016c,115,8764a141,121.0,T
085f86d9-246,SCH3,6acaccc3,119,12787f68,125.0,E
085f86d9-246,SCH3,21e162e1,124,12787f68,137.0,G
085f86d9-246,SCH3,12e9d030,123,12787f68,132.0,H
085f86d9-246,SCH3,aa72e3ec,120,12787f68,131.0,I
085f86d9-246,SCH3,de9fcf60,118,12787f68,133.0,N
085f86d9-246,SCH3,0ad6e19d,121,12787f68,136.0,O
0903e6de-706,SCH4,db1460af,128,e5cd6aed,132.0,H
0903e6de-706,SCH4,12a46ec8,133,e5cd6aed,121.0,M
0903e6de-706,SCH4,112df00f,132,e5cd6aed,130.0,N
0903e6de-706,SCH4,cf81faf4,127,e5cd6aed,126.0,S
0903e6de-706,SCH4,c9af63f4,131,e5cd6aed,130.0,T
0903e6de-706,SCH4,b5b1db0c,129,e5cd6aed,131.0,U
0903e6de-706,SCH4,0e0fef57,130,e5cd6aed,135.0,X
09a81f9d-af3,SCH2,4fbbf02d,143,22d9f1b3,123.0,E
09a81f9d-af3,SCH2,09407706,145,22d9f1b3,134.0,M
09a81f9d-af3,SCH2,a34aa4a9,144,22d9f1b3,129.0,Y
09a81f9d-af3,SCH5,c454c2a0,142,15dd21e1,132.0,E
09a81f9d-af3,SCH5,2f356b94,136,15dd21e1,133.0,H
09a81f9d-af3,SCH5,9161a44c,134,15dd21e1,128.0,I
09a81f9d-af3,SCH5,7d8e432d,141,15dd21e1,127.0,M
09a81f9d-af3,SCH5,0199a241,135,15dd21e1,123.0,R
09a81f9d-af3,SCH5,82bd564a,138,15dd21e1,133.0,S
09a81f9d-af3,SCH5,a6d2ccd4,140,15dd21e1,127.0,T
09a81f9d-af3,SCH5,152950d4,139,15dd21e1,123.0,Y
09a81f9d-af3,SCH5,d01c3388,137,15dd21e1,138.0,Z
09fbfa86-f49,SCH8,484dd0ea,146,0c551d38,121.0,S
0a52e09d-dfb,SCH5,170bf790,148,f226a4a6,121.0,#
0a52e09d-dfb,SCH5,ad8b5519,151,f226a4a6,127.0,H
0a52e09d-dfb,SCH5,4c8ce98a,152,f226a4a6,135.0,I
0a52e09d-dfb,SCH5,2b49bfd0,147,f226a4a6,129.0,M
0a52e09d-dfb,SCH5,fc52ef10,149,f226a4a6,127.0,N
0b135e79-6df,SCH5,4f405744,154,cf3ac692,135.0,G
0b135e79-6df,SCH5,8418703e,153,cf3ac692,132.0,N
0bab343b-5cf,SCH5,90e8439b,156,e077cbec,136.0,G
0bab343b-5cf,SCH5,d304edfb,164,e077cbec,132.0,H
0bab343b-5cf,SCH5,e116951f,157,e077cbec,125.0,I
0bab343b-5cf,SCH5,93359ca3,160,e077cbec,133.0,M
0bab343b-5cf,SCH5,f337af27,161,e077cbec,130.0,N
0bab343b-5cf,SCH5,55b0a7e2,158,e077cbec,126.0,O
0bab343b-5cf,SCH5,a575c392,155,e077cbec,117.0,S
0c382547-1b2,SCH2,d09560ca,165,5328b7f5,122.0,S
0c382547-1b2,SCH4,8318e4b9,170,da540065,131.0,C
0c382547-1b2,SCH4,eaee835b,166,da540065,126.0,G
0c382547-1b2,SCH4,800e9185,171,da540065,127.0,H
0c382547-1b2,SCH4,dfa6ed2e,173,da540065,118.0,I
0c382547-1b2,SCH4,1acb4086,175,da540065,128.0,M
0c382547-1b2,SCH4,83fe7b87,168,da540065,133.0,N
0c382547-1b2,SCH4,8af92780,172,da540065,124.0,T
0c788c53-a55,SCH8,e761ee0f,176,24a1927c,124.0,I
0d16bc77-ec7,SCH3,197b43e6,177,a67c3fb2,135.0,C
0d16bc77-ec7,SCH3,a80e5287,181,a67c3fb2,126.0,G
0d16bc77-ec7,SCH3,e2862895,179,a67c3fb2,129.0,N
0d16bc77-ec7,SCH3,dd7a606b,178,a67c3fb2,114.0,R
0d16bc77-ec7,SCH3,72d161b8,183,a67c3fb2,124.0,S
0d16bc77-ec7,SCH3,fb95fff5,180,a67c3fb2,134.0,T
0d3c07f4-6bb,SCH4,ff4f66c9,185,9fe4cd6e,130.0,E
0d3c07f4-6bb,SCH4,f0ad7ecc,186,9fe4cd6e,126.0,M
0d3c07f4-6bb,SCH4,60728a83,187,9fe4cd6e,132.0,O
0d3c07f4-6bb,SCH4,22fc83b1,189,9fe4cd6e,135.0,R
0dfd8155-615,SCH2,b58e7df7,191,a121453d,132.0,N
0e3212db-986,SCH5,790b2286,195,b7efcc96,137.0,E
0e3212db-986,SCH5,299eff99,193,b7efcc96,128.0,G
0e3212db-986,SCH5,9d769c7b,194,b7efcc96,126.0,H
0e3212db-986,SCH5,1dcfac38,196,b7efcc96,136.0,S
0e3212db-986,SCH5,a8682c80,192,b7efcc96,133.0,T
0e5e86c6-a76,SCH6,6902e445,201,d7d0693a,124.0,C
0e5e86c6-a76,SCH6,ecdd8fea,202,d7d0693a,130.0,S
0e5e86c6-a76,SCH6,2dab4309,203,d7d0693a,130.0,Y
0e5e86c6-a76,SCH7,305ce771,199,831f883d,121.0,E
0e5e86c6-a76,SCH7,d1e44fa8,198,831f883d,131.0,H
0e5e86c6-a76,SCH7,f1780caa,200,831f883d,129.0,T
0e8b2e8e-524,SCH1,aaf13610,204,ce0e64fd,133.0,G
0e9fd9e4-a34,SCH8,b625244b,205,0baccc49,129.0,C
0e9fd9e4-a34,SCH8,959122cd,208,0baccc49,126.0,E
0e9fd9e4-a34,SCH8,6b2c829b,212,0baccc49,128.0,G
0e9fd9e4-a34,SCH8,f5de2795,210,0baccc49,131.0,I
0e9fd9e4-a34,SCH8,68c82df9,207,0baccc49,128.0,R
0e9fd9e4-a34,SCH8,6d6b4ae2,206,0baccc49,130.0,S
0e9fd9e4-a34,SCH8,727b9c47,209,0baccc49,134.0,U
0eca0d8b-94c,SCH2,ee870613,221,b2e9828c,133.0,G
0eca0d8b-94c,SCH2,d99ca07d,229,b2e9828c,129.0,M
0eca0d8b-94c,SCH2,aa0fc75c,223,b2e9828c,129.0,N
0eca0d8b-94c,SCH2,319b935b,222,b2e9828c,128.0,O
0eca0d8b-94c,SCH2,9f53decb,224,b2e9828c,126.0,R
0eca0d8b-94c,SCH2,633e4b14,220,b2e9828c,128.0,U
0eca0d8b-94c,SCH5,b15fa343,218,0f265b02,124.0,G
0eca0d8b-94c,SCH5,8ad28a8b,213,0f265b02,137.0,H
0eca0d8b-94c,SCH5,664dd23e,219,0f265b02,137.0,Y
0eca0d8b-94c,SCH5,2b0b1284,217,0f265b02,121.0,Z
0f0dab68-be9,SCH5,677a4914,235,1bad80b4,134.0,#
0f0dab68-be9,SCH5,eecd7b11,232,1bad80b4,132.0,E
0f0dab68-be9,SCH5,34532a9b,234,1bad80b4,132.0,H
0f0dab68-be9,SCH5,b72dd839,231,1bad80b4,136.0,M
0f0dab68-be9,SCH5,57676fb8,239,1bad80b4,131.0,N
0f0dab68-be9,SCH5,4ed020f7,233,1bad80b4,129.0,T
0f0dab68-be9,SCH5,784b83f2,230,1bad80b4,126.0,Y
0f64b13c-4c2,SCH1,e8f406d7,245,3d16d4dc,126.0,C
0f64b13c-4c2,SCH1,a3f08fe0,243,3d16d4dc,124.0,E
0f64b13c-4c2,SCH1,50dbc93f,244,3d16d4dc,128.0,G
0f64b13c-4c2,SCH1,6f2ab870,240,3d16d4dc,126.0,H
0f64b13c-4c2,SCH1,c70c98bd,242,3d16d4dc,128.0,I
0f64b13c-4c2,SCH1,07ca4eda,247,3d16d4dc,123.0,M
10294734-b4e,SCH5,3c2364d7,252,0e008e1d,137.0,G
10294734-b4e,SCH5,b68d3a7b,253,0e008e1d,136.0,H
10294734-b4e,SCH5,cfc4b6e2,251,0e008e1d,126.0,I
10294734-b4e,SCH5,37791e19,250,0e008e1d,122.0,T
108085dc-6ae,SCH6,30995295,257,4b96c0de,130.0,C
108085dc-6ae,SCH6,a584cf86,262,4b96c0de,127.0,E
108085dc-6ae,SCH6,ff74f7f9,255,4b96c0de,132.0,H
108085dc-6ae,SCH6,b931bb25,258,4b96c0de,132.0,I
