pupilonrolltableid,NativeId,termlysessiondetailsonrolltableid,termlysessiondetailsonrollorderseqcolumn,sourceid,sessions,attendancereason
0002e817-8ca,SCH7,10b55d3f,2,874225a6,122.0,N
0002e817-8ca,SCH7,56652903,1,874225a6,134.0,O
0002e817-8ca,SCH7,1aa02c69,4,874225a6,136.0,U
001cd0b1-3d1,SCH5,06aa8d91,6,89abc551,134.0,C
001cd0b1-3d1,SCH5,582f9cf8,5,89abc551,128.0,G
001cd0b1-3d1,SCH5,01cae12b,7,89abc551,127.0,H
001cd0b1-3d1,SCH5,66e88197,8,89abc551,130.0,M
001e7b6b-4f5,SCH4,54fd69e0,12,3ecd4bbc,119.0,C
001e7b6b-4f5,SCH4,0082a83d,13,3ecd4bbc,117.0,E
001e7b6b-4f5,SCH4,38237289,9,3ecd4bbc,129.0,H
001e7b6b-4f5,SCH4,72e0e776,10,3ecd4bbc,119.0,I
001e7b6b-4f5,SCH4,7ea2add0,14,3ecd4bbc,138.0,R
002c252a-dd6,SCH8,d61737b4,18,b2d81f1e,124.0,M
002c252a-dd6,SCH8,f4595303,17,b2d81f1e,129.0,N
002c252a-dd6,SCH8,0479ae48,19,b2d81f1e,135.0,O
00389221-b4e,SCH6,42bb628a,21,f01b60ca,129.0,G
00389221-b4e,SCH6,4b4560ab,29,f01b60ca,128.0,H
00389221-b4e,SCH6,5047e8a4,22,f01b60ca,139.0,M
00389221-b4e,SCH6,e21d5bff,20,f01b60ca,136.0,N
00389221-b4e,SCH6,c4a30074,27,f01b60ca,136.0,O
00389221-b4e,SCH6,1ac7de0d,25,f01b60ca,133.0,R
00389221-b4e,SCH6,3f9795e3,28,f01b60ca,132.0,S
00389221-b4e,SCH6,54324058,23,f01b60ca,128.0,T
003aa1bb-f6b,SCH2,1176d33f,35,857fb5a5,130.0,C
003aa1bb-f6b,SCH2,c7f12d5e,32,857fb5a5,122.0,I
003aa1bb-f6b,SCH2,93bc1947,30,857fb5a5,124.0,M
003aa1bb-f6b,SCH2,2bc4d186,31,857fb5a5,131.0,N
003aa1bb-f6b,SCH2,131abbf0,36,857fb5a5,130.0,O
003aa1bb-f6b,SCH2,1696f9e7,33,857fb5a5,136.0,R
004e63d6-f12,SCH3,a93682cf,38,ea1dcb81,132.0,E
004e63d6-f12,SCH3,ec3ceafd,40,ea1dcb81,138.0,I
004e63d6-f12,SCH3,3ca9e9d9,41,ea1dcb81,131.0,R
004e63d6-f12,SCH3,6f60f8f3,39,ea1dcb81,125.0,U
004fcd28-df6,SCH1,cc58a3e0,48,434d3c5d,130.0,E
004fcd28-df6,SCH1,d8fbe647,45,434d3c5d,132.0,G
004fcd28-df6,SCH1,2337dd27,44,434d3c5d,124.0,H
004fcd28-df6,SCH1,f2c334d9,43,434d3c5d,129.0,N
004fcd28-df6,SCH1,367aa019,51,434d3c5d,130.0,O
004fcd28-df6,SCH1,502cb902,47,434d3c5d,134.0,U
004fcd28-df6,SCH1,aedee008,42,434d3c5d,134.0,Z
0058974f-905,SCH4,04f8ef40,53,6276c6a6,125.0,H
0058974f-905,SCH4,57a26607,57,6276c6a6,133.0,M
0058974f-905,SCH4,9e09d77b,56,6276c6a6,136.0,N
0058974f-905,SCH4,682f7e3f,55,6276c6a6,137.0,S
0058974f-905,SCH4,9ad98e10,52,6276c6a6,133.0,X
0068613a-fcf,SCH7,ce1f1f4d,58,e10a05d3,135.0,X
006a8cdc-33d,SCH5,5f53e1ad,62,5bba2162,137.0,C
006a8cdc-33d,SCH5,3d69766a,59,5bba2162,125.0,M
