type,message,filename,uuid,session_id
StreamError,Failed to clean file. Check log files for technical errors.,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\CIN sample\822_cin_2022.xml,ed4a5f9bfa4140a1acef6a3fc866117a,20240528T134142.092864
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Closed_childrens_homes_31Mar23.csv,f948639cb7654167bdfa94464129613a,20240528T134142.092864
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Providers+places_at_31_Aug_2023.csv,db393120d529480f889a2f31b151a658,20240528T134142.092864
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_at_31_Aug_2023.csv,5569dfbc474c46599b736fe1c126253a,20240528T134142.092864
MissingLA,Could not find a local authority in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Ofsted data\Provider_level_in_year_2022-23.csv,7b2e05e0dc714fe9b56ab5cfb7695707,20240528T134142.092864
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\ONS Area\ONS Area.csv,b93af9337e7b40f39ff8faa2e76f9ad6,20240528T134142.092864
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\Postcode directory\ONSPD reduced to postcode sector.csv,f150815017264f368d62a26685ab8138,20240528T134142.092864
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Episodes.csv,7ec563c1eb4a48acad75d69337203ed4,20240528T134142.092864
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_Header.csv,1bcb2502d8a143c6969036d6ed005460,20240528T134142.092864
MissingYear,Could not find a year in the filename or path,C:\Users\disha.javur\OneDrive - Social Finance Ltd\Desktop\GitHUb\liia-python\liiatools_pipeline\Input data\SSDA903\pan_London_SSDA903_UASC.csv,d087009f6b8744439307d732f24e4565,20240528T134142.092864
